bangladesh_test	Total	Male	Female
 5-9	64309.707484	32908.743332	31400.964152
 10-14 	29803.816176	15261.678009	14542.138166
 15-19 	95282.110757	48713.217174	46568.893583
 20-24 	89357.325470	45235.885849	44121.439620
 25-29 	88024.955526	44095.684606	43929.270919
 30-34 	83929.797274	41705.674460	42224.122814
 35-39 	77959.983834	38194.476290	39765.507544
 40-44 	71444.670439	34434.308140	37010.362299
 45-49 	63961.092205	30728.065322	33233.026883
 50-54 	53707.455132	25860.542938	27846.912194
 55-59 	44986.625464	22136.593745	22850.031719
 60-64 	37482.134494	18852.134148	18630.000346
 65-69 	26854.674507	13616.773384	13237.901124
 70-74 	16520.019216	8655.938381	7864.080835
 75-79 	10565.537879	5399.976354	5165.561525
 80+ 	10489.455650	5190.433587	5299.022063
Total	994940.791442	497605.489846	497335.301596
2029			
 0-4	129069.870006	66003.511767	63066.358239
 5-9	63863.889554	32672.870809	31191.018746
 10-14 	29696.429378	15205.052356	14491.377021
 15-19 	95306.996449	48736.095200	46570.901249
 20-24 	88494.724410	44800.975862	43693.748547
 25-29 	87679.384007	43918.982837	43760.401170
 30-34 	84291.569099	41913.985603	42377.583495
 35-39 	78781.920606	38698.939920	40082.980686
 40-44 	72416.769178	34969.833037	37446.936141
 45-49 	65367.781493	31371.691058	33996.090435
 50-54 	55538.653671	26679.866505	28858.787166
 55-59 	45831.389776	22371.032389	23460.357387
 60-64 	38970.474626	19525.548937	19444.925689
 65-69 	28491.511499	14378.693089	14112.818411
 70-74 	17645.187682	9165.679128	8479.508554
 75-79 	11046.909034	5687.683498	5359.225536
 80+ 	10881.680760	5375.594964	5506.085796
Total	1003375.141228	501476.036960	501899.104268
2030			
 0-4	127874.629188	65392.258032	62482.371156
 5-9	63355.538349	32405.273692	30950.264658
 10-14 	29582.464829	15145.024173	14437.440656
 15-19 	95249.126905	48711.105664	46538.021241
 20-24 	87901.136826	44507.978075	43393.158750
 25-29 	87111.259241	43627.796123	43483.463118
