Incidence per 1000 by age and sex			
	Workshop_1_Demo		
 	Total	Male	Female
 50-54 	1.578449	1.368937	1.798965
 55-59 	1.176163	1.076436	1.281885
 60-64 	0.943787	0.986109	0.899902
 65-69 	0.889215	1.006464	0.777454
 70-74 	0.943691	0.975051	0.918852
 75-79 	0.368386	0.649299	0.201783
 80+ 	0.000000	0.000000	0.000000
Total	2.156539	1.899867	2.412886
2044			
 0-4	2.189737	2.191850	2.187566
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.609530	0.931806	2.303759
 20-24 	4.112271	3.013523	5.243484
 25-29 	4.575316	3.817389	5.358367
 30-34 	4.154967	3.777206	4.545100
 35-39 	3.457573	3.259887	3.661160
 40-44 	2.754369	2.563639	2.950409
 45-49 	2.116595	1.884821	2.356457
 50-54 	1.581622	1.370472	1.802545
 55-59 	1.177739	1.077206	1.283487
 60-64 	0.944884	0.987119	0.901299
 65-69 	0.890488	1.007479	0.778659
 70-74 	0.946343	0.976463	0.922041
 75-79 	0.372654	0.650339	0.203500
 80+ 	0.000000	0.000000	0.000000
Total	2.151477	1.894859	2.407720
2045			
 0-4	2.163356	2.165443	2.161212
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.612289	0.933041	2.308391
 20-24 	4.118164	3.016584	5.252985
 25-29 	4.582050	3.821565	5.368307
 30-34 	4.160618	3.781051	4.552817
 35-39 	3.464111	3.264741	3.669511
 40-44 	2.756242	2.564027	2.953619
 45-49 	2.121566	1.888290	2.361984
 50-54 	1.584381	1.371757	1.805599
 55-59 	1.179390	1.078109	1.285098
 60-64 	0.945915	0.988174	0.902551
 65-69 	0.891662	1.008561	0.779859
 70-74 	0.948861	0.977536	0.925325
 75-79 	0.375199	0.650300	0.203991
 80+ 	0.000000	0.000000	0.000000
Total	2.146786	1.890448	2.402669
2046			
 0-4	2.144434	2.146503	2.142310
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.615085	0.934380	2.312979
 20-24 	4.124260	3.020059	5.262447
 25-29 	4.588909	3.826060	5.378174
 30-34 	4.166741	3.785436	4.560983
 35-39 	3.470079	3.269314	3.676997
 40-44 	2.757887	2.564364	2.956499
 45-49 	2.126441	1.891868	2.367353
 50-54 	1.586969	1.373013	1.808368
 55-59 	1.181280	1.079262	1.286964
 60-64 	0.946944	0.989323	0.903733
 65-69 	0.892831	1.009760	0.781147
 70-74 	0.950903	0.978813	0.927748
 75-79 	0.377877	0.651030	0.203676
 80+ 	0.000000	0.000000	0.000000
Total	2.142624	1.886771	2.397910
2047			
 0-4	2.129217	2.131271	2.127108
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.617987	0.935851	2.317631
 20-24 	4.130704	3.024023	5.272079
 25-29 	4.596046	3.831001	5.388142
 30-34 	4.173535	3.790548	4.569777
 35-39 	3.475654	3.273743	3.683853
 40-44 	2.760482	2.565852	2.960174
 45-49 	2.130791	1.895090	2.372201
 50-54 	1.589828	1.374618	1.811353
 55-59 	1.183524	1.080726	1.289278
 60-64 	0.948022	0.990594	0.904919
 65-69 	0.894046	1.011103	0.782556
 70-74 	0.953095	0.980283	0.930360
 75-79 	0.381595	0.652346	0.205002
 80+ 	0.000000	0.000000	0.000000
Total	2.138793	1.883595	2.393284
2048			
 0-4	2.115315	2.117355	2.113220
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.621019	0.937470	2.322382
 20-24 	4.137449	3.028425	5.281843
 25-29 	4.603414	3.836351	5.398144
 30-34 	4.180736	3.796221	4.578831
 35-39 	3.480331	3.277530	3.689556
 40-44 	2.764193	2.568664	2.964799
 45-49 	2.134267	1.897566	2.376210
 50-54 	1.593260	1.376825	1.814914
 55-59 	1.185970	1.082386	1.291856
 60-64 	0.949135	0.991972	0.906090
 65-69 	0.895302	1.012568	0.784054
 70-74 	0.955396	0.981901	0.933115
 75-79 	0.386010	0.654212	0.207476
 80+ 	0.000000	0.000000	0.000000
Total	2.135098	1.880718	2.388601
2049			
 0-4	2.101311	2.103337	2.099231
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.624113	0.939198	2.327130
 20-24 	4.144130	3.032960	5.291309
 25-29 	4.610647	3.841793	5.407761
 30-34 	4.187182	3.801591	4.586678
 35-39 	3.484703	3.281231	3.694714
 40-44 	2.769628	2.573460	2.970945
 45-49 	2.136617	1.899027	2.379115
 50-54 	1.597090	1.379492	1.818899
 55-59 	1.188233	1.083971	1.294182
 60-64 	0.950211	0.993371	0.907182
 65-69 	0.896526	1.014065	0.785565
 70-74 	0.957620	0.983516	0.935788
 75-79 	0.390320	0.656215	0.210029
 80+ 	0.000000	0.000000	0.000000
Total	2.131267	1.877889	2.383575
2050			
 0-4	2.088766	2.090779	2.086698
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.627083	0.940911	2.331614
 20-24 	4.150250	3.037205	5.299906
 25-29 	4.617250	3.846870	5.416452
 30-34 	4.193167	3.806639	4.593927
 35-39 	3.489190	3.285099	3.699951
 40-44 	2.774972	2.578303	2.976882
 45-49 	2.137840	1.899481	2.380888
 50-54 	1.600929	1.382272	1.822905
 55-59 	1.190089	1.085307	1.295968
 60-64 	0.951205	0.994681	0.908199
 65-69 	0.897615	1.015470	0.786989
 70-74 	0.959521	0.984948	0.938074
 75-79 	0.393863	0.657172	0.212269
 80+ 	0.000000	0.000000	0.000000
Total	2.127195	1.875021	2.378081
