Incidence per 1000 by age and sex			
	Workshop_1_Demo		
 	Total	Male	Female
Total	0.000853	0.001058	0.000650
1983			
 0-4	0.000528	0.000532	0.000525
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.001407	0.001278	0.001538
 20-24 	0.003873	0.004197	0.003544
 25-29 	0.004492	0.005334	0.003636
 30-34 	0.004206	0.005290	0.003094
 35-39 	0.003542	0.004572	0.002491
 40-44 	0.002798	0.003596	0.002006
 45-49 	0.002119	0.002646	0.001604
 50-54 	0.001576	0.001926	0.001229
 55-59 	0.001187	0.001514	0.000875
 60-64 	0.000965	0.001384	0.000612
 65-69 	0.000909	0.001413	0.000530
 70-74 	0.000920	0.001371	0.000631
 75-79 	0.000417	0.000927	0.000154
 80+ 	0.000000	0.000000	0.000000
Total	0.001758	0.002086	0.001435
1984			
 0-4	0.001155	0.001162	0.001148
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.003384	0.002872	0.003898
 20-24 	0.009211	0.009431	0.008987
 25-29 	0.010614	0.011988	0.009220
 30-34 	0.009890	0.011889	0.007844
 35-39 	0.008321	0.010279	0.006320
 40-44 	0.006579	0.008081	0.005086
 45-49 	0.004996	0.005949	0.004068
 50-54 	0.003717	0.004329	0.003117
 55-59 	0.002799	0.003402	0.002219
 60-64 	0.002267	0.003111	0.001554
 65-69 	0.002129	0.003175	0.001343
 70-74 	0.002182	0.003083	0.001600
 75-79 	0.000962	0.002081	0.000387
 80+ 	0.000000	0.000000	0.000000
Total	0.004162	0.004703	0.003627
1985			
 0-4	0.002816	0.002833	0.002799
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.008684	0.007017	0.010346
 20-24 	0.023383	0.022958	0.023814
 25-29 	0.026829	0.029194	0.024437
 30-34 	0.024908	0.028947	0.020785
 35-39 	0.020947	0.025043	0.016762
 40-44 	0.016569	0.019673	0.013479
 45-49 	0.012608	0.014493	0.010783
 50-54 	0.009382	0.010540	0.008260
 55-59 	0.007060	0.008283	0.005885
 60-64 	0.005708	0.007577	0.004119
 65-69 	0.005347	0.007732	0.003562
 70-74 	0.005531	0.007508	0.004247
 75-79 	0.002386	0.005059	0.001010
 80+ 	0.000000	0.000000	0.000000
Total	0.010552	0.011497	0.009620
1986			
 0-4	0.007240	0.007283	0.007195
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.022583	0.017387	0.027749
 20-24 	0.060191	0.056759	0.063651
 25-29 	0.068781	0.072212	0.065327
 30-34 	0.063631	0.071587	0.055557
 35-39 	0.053481	0.061965	0.044841
 40-44 	0.042323	0.048646	0.036030
 45-49 	0.032283	0.035865	0.028833
 50-54 	0.024027	0.026064	0.022079
 55-59 	0.018056	0.020481	0.015742
 60-64 	0.014583	0.018740	0.011015
 65-69 	0.013631	0.019126	0.009528
 70-74 	0.014208	0.018573	0.011375
 75-79 	0.006020	0.012497	0.002672
 80+ 	0.000000	0.000000	0.000000
Total	0.027175	0.028573	0.025799
1987			
 0-4	0.018700	0.018811	0.018588
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.057406	0.042189	0.072499
 20-24 	0.151749	0.137640	0.165906
 25-29 	0.172762	0.175199	0.170321
 30-34 	0.159305	0.173667	0.144834
 35-39 	0.133763	0.150362	0.116941
 40-44 	0.105932	0.118001	0.093926
 45-49 	0.080988	0.087038	0.075180
 50-54 	0.060309	0.063225	0.057553
 55-59 	0.045242	0.049681	0.041049
 60-64 	0.036498	0.045463	0.028720
 65-69 	0.034055	0.046400	0.024849
 70-74 	0.035728	0.045060	0.029688
 75-79 	0.014940	0.030299	0.006932
 80+ 	0.000000	0.000000	0.000000
Total	0.068643	0.069721	0.067585
1988			
 0-4	0.047014	0.047286	0.046739
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.140247	0.099072	0.181045
 20-24 	0.368827	0.323649	0.413945
 25-29 	0.418618	0.412121	0.425109
 30-34 	0.384996	0.408512	0.361439
 35-39 	0.322884	0.353668	0.291817
 40-44 	0.255953	0.277590	0.234425
 45-49 	0.195992	0.204732	0.187607
 50-54 	0.146083	0.148717	0.143617
 55-59 	0.109389	0.116842	0.102428
 60-64 	0.088154	0.106925	0.071674
 65-69 	0.082150	0.109130	0.062010
 70-74 	0.086577	0.105970	0.074083
 75-79 	0.035950	0.071282	0.017339
 80+ 	0.000000	0.000000	0.000000
Total	0.167420	0.165138	0.169657
1989			
 0-4	0.112568	0.113201	0.111925
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.323697	0.221462	0.425129
 20-24 	0.849236	0.725108	0.972712
 25-29 	0.961200	0.923232	0.999107
 30-34 	0.882135	0.915155	0.849188
 35-39 	0.738921	0.792044	0.685461
 40-44 	0.586466	0.622042	0.551000
 45-49 	0.449383	0.458446	0.440664
 50-54 	0.335368	0.333177	0.337408
 55-59 	0.250682	0.261649	0.240546
 60-64 	0.201757	0.239451	0.168402
 65-69 	0.187962	0.244378	0.145641
 70-74 	0.198657	0.237253	0.173890
 75-79 	0.082288	0.159776	0.041137
 80+ 	0.000000	0.000000	0.000000
Total	0.387245	0.372924	0.401263
1990			
 0-4	0.253849	0.255257	0.252420
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.697046	0.464858	0.928282
 20-24 	1.825229	1.520256	2.126249
 25-29 	2.058353	1.933150	2.182923
 30-34 	1.885160	1.916191	1.854377
 35-39 	1.577076	1.657715	1.496455
 40-44 	1.253286	1.302886	1.203895
 45-49 	0.960459	0.959075	0.961795
 50-54 	0.717770	0.697507	0.736633
 55-59 	0.535676	0.547433	0.524869
 60-64 	0.430481	0.501024	0.367694
 65-69 	0.401403	0.511307	0.317821
 70-74 	0.424998	0.496271	0.379116
 75-79 	0.175929	0.334688	0.090903
 80+ 	0.000000	0.000000	0.000000
Total	0.836728	0.788236	0.884140
1991			
 0-4	0.536827	0.539773	0.533834
