South_Africa	Total	Male	Female
 50-54 	44869.126079	26036.573720	18832.552359
 55-59 	57637.147880	34738.808459	22898.339421
 60-64 	69123.751236	43136.408991	25987.342245
 65-69 	71478.204876	43860.013057	27618.191819
 70-74 	70277.522429	40124.943396	30152.579033
 75-79 	67640.739191	33522.671637	34118.067554
 80+ 	156278.862439	47797.560906	108481.301533
Total	718326.589821	357330.248949	360996.340872
2043			
 0-4	29387.602494	15689.263257	13698.339238
 5-9	3140.466296	1589.707538	1550.758757
 10-14 	2787.061504	1409.456865	1377.604639
 15-19 	5654.669106	2768.743051	2885.926055
 20-24 	7895.631741	3545.839400	4349.792341
 25-29 	13588.817746	5492.537298	8096.280448
 30-34 	19290.677994	8420.288304	10870.389691
 35-39 	30014.405248	13634.056471	16380.348777
 40-44 	31980.103760	15906.589613	16073.514147
 45-49 	35133.045657	18815.496145	16317.549511
 50-54 	43842.405327	25554.996705	18287.408622
 55-59 	57289.389109	34615.029449	22674.359660
 60-64 	71009.668053	44349.602421	26660.065631
 65-69 	74411.726800	45644.985678	28766.741122
 70-74 	72265.758704	41476.481537	30789.277167
 75-79 	68745.100087	34497.712797	34247.387291
 80+ 	158485.476862	48867.902754	109617.574108
Total	724922.006488	362278.689283	362643.317204
2044			
 0-4	29611.485378	15800.693641	13810.791737
 5-9	3028.223879	1532.471956	1495.751923
 10-14 	2758.936206	1395.783177	1363.153029
 15-19 	5602.757271	2743.891755	2858.865516
 20-24 	7790.666633	3502.873194	4287.793439
 25-29 	13396.859831	5411.728587	7985.131244
 30-34 	18975.824517	8286.695659	10689.128858
 35-39 	29416.600182	13395.715405	16020.884777
 40-44 	32034.619288	15991.479542	16043.139746
 45-49 	34775.480268	18707.337458	16068.142811
 50-54 	42917.539790	25132.986381	17784.553409
 55-59 	56710.544855	34359.678559	22350.866296
 60-64 	72593.729254	45391.149365	27202.579889
 65-69 	77468.064173	47496.824181	29971.239991
 70-74 	74634.867042	43029.886232	31604.980809
 75-79 	69891.160280	35418.691774	34472.468506
 80+ 	160484.352073	49973.431354	110510.920720
Total	732091.710920	367571.318221	364520.392699
2045			
 0-4	29679.637064	15834.396623	13845.240441
 5-9	2899.687221	1466.760935	1432.926286
 10-14 	2744.977174	1388.923056	1356.054118
 15-19 	5516.334252	2702.718051	2813.616200
 20-24 	7687.356395	3462.379969	4224.976427
 25-29 	13234.993458	5346.201466	7888.791992
 30-34 	18586.445672	8121.488632	10464.957040
 35-39 	28844.123999	13168.568067	15675.555932
 40-44 	31928.918447	15996.364713	15932.553734
 45-49 	34646.661964	18714.454613	15932.207352
 50-54 	42092.168229	24769.613168	17322.555061
 55-59 	55955.287118	34007.685970	21947.601148
 60-64 	73817.805626	46220.432636	27597.372990
 65-69 	80569.044613	49380.314789	31188.729824
 70-74 	77203.645674	44587.688882	32615.956792
 75-79 	71404.864244	36615.017142	34789.847101
 80+ 	162449.149651	51173.297414	111275.852238
Total	739261.100802	372956.306126	366304.794675
2046			
 0-4	29952.953718	15971.036444	13981.917274
 5-9	2801.283234	1416.294930	1384.988304
 10-14 	2707.190891	1369.806721	1337.384170
 15-19 	5441.333039	2665.038937	2776.294101
 20-24 	7595.363346	3425.318555	4170.044791
 25-29 	13039.608485	5267.308698	7772.299787
 30-34 	18214.601146	7969.017862	10245.583284
 35-39 	28269.213954	12934.625913	15334.588041
 40-44 	31684.529823	15933.754221	15750.775601
 45-49 	34747.894352	18838.094025	15909.800327
 50-54 	41390.629434	24472.013717	16918.615717
 55-59 	55112.087599	33609.880477	21502.207122
 60-64 	74660.871978	46821.218904	27839.653074
 65-69 	83613.551948	51238.969497	32374.582451
 70-74 	80159.350648	46391.733719	33767.616929
 75-79 	73026.188993	37720.370017	35305.818976
 80+ 	164386.000079	52390.458765	111995.541314
Total	746802.652669	378434.941404	368367.711265
2047			
 0-4	30268.110323	16129.932497	14138.177825
 5-9	2745.499023	1387.992644	1357.506379
 10-14 	2619.670087	1325.208410	1294.461677
 15-19 	5370.224452	2626.423340	2743.801112
 20-24 	7516.735429	3393.703649	4123.031780
 25-29 	12820.849136	5179.311237	7641.537899
 30-34 	17864.277266	7818.716711	10045.560554
 35-39 	27780.439036	12736.746764	15043.692271
 40-44 	31314.967930	15809.595940	15505.371990
 45-49 	35003.739381	19039.126540	15964.612840
 50-54 	40859.326452	24262.802591	16596.523862
 55-59 	54268.701226	33214.824243	21053.876983
 60-64 	75088.572929	47170.573053	27917.999875
 65-69 	86505.520332	53015.749881	33489.770451
 70-74 	83418.166451	48290.430683	35127.735768
 75-79 	74787.877588	38915.657189	35872.220399
 80+ 	166402.547141	53721.086452	112681.460689
Total	754635.224181	384037.881825	370597.342356
2048			
 0-4	30399.236973	16196.134591	14203.102381
 5-9	2728.698875	1379.580343	1349.118532
 10-14 	2516.989291	1272.871093	1244.118198
 15-19 	5290.154093	2586.171125	2703.982967
 20-24 	7431.586614	3357.944111	4073.642503
 25-29 	12619.026767	5101.705163	7517.321604
 30-34 	17450.760744	7631.827531	9818.933213
 35-39 	27403.565545	12606.998860	14796.566684
 40-44 	30863.591370	15636.010481	15227.580889
 45-49 	35308.193177	19260.899335	16047.293842
 50-54 	40535.768903	24165.267041	16370.501863
 55-59 	53470.834574	32846.615091	20624.219483
 60-64 	75116.681852	47279.019428	27837.662424
 65-69 	89156.946032	54659.545895	34497.400137
 70-74 	86896.235691	50292.823482	36603.412209
 75-79 	76812.359804	40213.648733	36598.711071
 80+ 	168517.967455	55111.820584	113406.146870
