SouthAfrica_test	Total	Male	Female
 35-39 	4094210.156668	2075519.939773	2018690.216895
 40-44 	3216064.896566	1647649.625629	1568415.270937
 45-49 	2512315.903164	1272581.621933	1239734.281231
 50-54 	2129265.901518	1020336.155947	1108929.745571
 55-59 	1929778.108739	842441.655477	1087336.453262
 60-64 	1717802.287481	693584.046862	1024218.240619
 65-69 	1322008.307770	500147.627767	821860.680003
 70-74 	917953.896168	317899.151968	600054.744200
 75-79 	570623.643059	176565.331957	394058.311102
 80+ 	487213.585279	126947.907030	360265.678249
Total	52574699.326120	25575260.670075	26999438.656045
2019			
 0-4	4900370.371281	2475319.469456	2425050.901825
 5-9	4970482.628079	2503626.675918	2466855.952161
 10-14 	5051417.990740	2539292.223838	2512125.766902
 15-19 	4997537.813046	2502997.777977	2494540.035068
 20-24 	4592542.463983	2295992.206268	2296550.257714
 25-29 	4556264.987444	2275788.125100	2280476.862344
 30-34 	4589568.655436	2299734.996271	2289833.659165
 35-39 	4201366.438433	2125212.546554	2076153.891879
 40-44 	3356338.050533	1715384.742390	1640953.308143
 45-49 	2594644.643842	1320869.256299	1273775.387544
 50-54 	2155441.292036	1043685.352042	1111755.939994
 55-59 	1923249.090895	851880.777439	1071368.313456
 60-64 	1733691.396125	702397.193754	1031294.202371
 65-69 	1358913.742311	514015.759235	844897.983076
 70-74 	942654.524668	325812.427097	616842.097571
 75-79 	593257.725152	182706.247774	410551.477378
 80+ 	500128.461299	128561.018116	371567.443183
Total	53017870.275304	25803276.795531	27214593.479773
2020			
 0-4	4876036.252425	2463541.021133	2412495.231292
 5-9	4956240.481094	2497169.273700	2459071.207394
 10-14 	5031267.168981	2529903.806182	2501363.362799
 15-19 	5039680.156190	2524039.770686	2515640.385504
 20-24 	4639740.439798	2320394.298462	2319346.141337
 25-29 	4519505.086021	2259109.501864	2260395.584157
 30-34 	4565996.611940	2285615.342660	2280381.269280
 35-39 	4288526.860134	2165045.104449	2123481.755684
 40-44 	3499596.854241	1784047.210283	1715549.643957
 45-49 	2685310.453599	1368579.477339	1316730.976260
 50-54 	2193550.747574	1074711.140549	1118839.607025
 55-59 	1922188.527189	864878.921042	1057309.606147
 60-64 	1741970.564499	709882.482427	1032088.082072
 65-69 	1394558.077251	527505.683691	867052.393561
 70-74 	969419.613557	334663.883447	634755.730110
 75-79 	615173.493666	188736.983952	426436.509715
 80+ 	515342.247704	130862.376292	384479.871413
Total	53454103.635864	26028686.278156	27425417.357708
2021			
 0-4	4855378.377286	2453620.058141	2401758.319145
 5-9	4937636.980582	2488433.433258	2449203.547324
 10-14 	5020063.354320	2525155.985799	2494907.368521
 15-19 	5056610.954524	2532724.110748	2523886.843777
 20-24 	4711019.183283	2356442.278471	2354576.904811
