Incidence per 1000 by age and sex			
	Bangladesh		
 	Total	Male	Female
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.009547	0.011490	0.007517
 20-24 	0.009765	0.013151	0.006298
 25-29 	0.009439	0.013509	0.005356
 30-34 	0.009317	0.014445	0.004067
 35-39 	0.008626	0.013110	0.003834
 40-44 	0.007010	0.010552	0.003123
 45-49 	0.004626	0.006785	0.002074
 50-54 	0.001933	0.002876	0.000817
 55-59 	0.000766	0.001361	0.000119
 60-64 	0.000075	0.000143	0.000002
 65-69 	0.000021	0.000038	0.000002
 70-74 	0.000001	0.000002	0.000000
 75-79 	0.000022	0.000038	0.000004
 80+ 	0.000000	0.000000	0.000000
Total	0.004977	0.006844	0.003006
2004			
 0-4	0.002422	0.002425	0.002420
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.010204	0.011919	0.008416
 20-24 	0.010379	0.013641	0.007049
 25-29 	0.009999	0.014013	0.005995
 30-34 	0.009795	0.014987	0.004554
 35-39 	0.009077	0.013594	0.004291
 40-44 	0.007375	0.010938	0.003494
 45-49 	0.004861	0.007047	0.002326
 50-54 	0.002040	0.002981	0.000915
 55-59 	0.000804	0.001414	0.000133
 60-64 	0.000077	0.000148	0.000002
 65-69 	0.000022	0.000039	0.000002
 70-74 	0.000001	0.000003	0.000000
 75-79 	0.000023	0.000040	0.000005
 80+ 	0.000000	0.000000	0.000000
Total	0.005326	0.007165	0.003390
2005			
 0-4	0.002809	0.002811	0.002806
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.010884	0.012349	0.009360
 20-24 	0.011007	0.014131	0.007834
 25-29 	0.010572	0.014518	0.006663
 30-34 	0.010285	0.015524	0.005062
 35-39 	0.009519	0.014065	0.004769
 40-44 	0.007749	0.011327	0.003882
 45-49 	0.005095	0.007301	0.002585
 50-54 	0.002149	0.003087	0.001020
 55-59 	0.000845	0.001469	0.000150
 60-64 	0.000080	0.000152	0.000002
 65-69 	0.000023	0.000041	0.000002
 70-74 	0.000001	0.000003	0.000000
 75-79 	0.000024	0.000041	0.000005
 80+ 	0.000000	0.000000	0.000000
Total	0.005682	0.007483	0.003793
2006			
 0-4	0.003203	0.003206	0.003200
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.011464	0.012637	0.010246
 20-24 	0.011527	0.014456	0.008570
