Vietnam_test	Total	Male	Female
 35-39 	4423523.276217	2187337.821392	2236185.454825
 40-44 	2978257.620199	1442536.592543	1535721.027656
 45-49 	2073130.263516	970333.708581	1102796.554935
 50-54 	1935054.021565	898998.607954	1036055.413611
 55-59 	2002022.781741	917447.645291	1084575.136450
 60-64 	1819820.417782	817470.042353	1002350.375429
 65-69 	1458183.245974	628907.249253	829275.996721
 70-74 	1128157.335834	463862.571322	664294.764512
 75-79 	791848.924877	300372.752921	491476.171955
 80+ 	812613.734374	249737.935739	562875.798634
Total	71019235.915215	34978225.074362	36041010.840853
1993			
 0-4	9104682.448315	4664419.866529	4440262.581785
 5-9	8835558.084907	4502900.023325	4332658.061582
 10-14 	8011697.339700	4070402.214754	3941295.124946
 15-19 	7359780.031025	3719881.029895	3639899.001130
 20-24 	6893138.507451	3466662.130598	3426476.376852
 25-29 	6334545.194693	3175061.782132	3159483.412561
 30-34 	5655506.046303	2813538.676272	2841967.370030
 35-39 	4662595.188336	2304202.648619	2358392.539718
 40-44 	3256472.449929	1586602.516306	1669869.933623
 45-49 	2154562.509125	1009721.635651	1144840.873474
 50-54 	1929971.522564	896118.476598	1033853.045965
 55-59 	1966184.814725	899959.630549	1066225.184177
 60-64 	1873185.827892	841409.384525	1031776.443366
 65-69 	1480836.944488	638796.093124	842040.851364
 70-74 	1165359.808936	477541.695427	687818.113508
 75-79 	805049.686287	306200.623097	498849.063190
 80+ 	848862.459137	261771.999362	587090.459775
Total	72337988.863811	35635190.426765	36702798.437046
1994			
 0-4	8903488.361129	4565035.081919	4338453.279210
 5-9	8968062.007776	4573165.161139	4394896.846637
 10-14 	8173922.797373	4154558.949395	4019363.847978
 15-19 	7440048.886088	3762775.352002	3677273.534086
 20-24 	6979156.956649	3511086.209981	3468070.746668
 25-29 	6406473.765724	3209910.818092	3196562.947632
 30-34 	5788744.031894	2880752.102141	2907991.929753
 35-39 	4882913.754564	2411601.193838	2471312.560726
 40-44 	3544170.278993	1734236.439476	1809933.839517
 45-49 	2277492.377863	1071165.574789	1206326.803074
 50-54 	1933008.478176	896553.021756	1036455.456420
 55-59 	1929257.121035	882160.572850	1047096.548184
 60-64 	1910445.671883	857689.788872	1052755.883012
 65-69 	1512465.566869	652924.072082	859541.494788
 70-74 	1198377.398276	489504.369194	708873.029081
 75-79 	822750.161108	313382.678109	509367.482999
 80+ 	883632.845716	273315.072047	610317.773669
Total	73554410.461117	36239816.457682	37314594.003435
1995			
 0-4	8582358.478911	4403405.560577	4178952.918334
 5-9	9077590.026471	4632619.617393	4444970.409077
 10-14 	8338125.141086	4239557.295799	4098567.845287
 15-19 	7540436.456116	3816128.114835	3724308.341281
 20-24 	7043872.784897	3543118.431519	3500754.353377
 25-29 	6490398.390104	3252117.591778	3238280.798326
 30-34 	5910264.923326	2942802.591223	2967462.332103
 35-39 	5082454.486339	2509033.813801	2573420.672538
 40-44 	3832992.311987	1880719.131798	1952273.180189
 45-49 	2444914.364731	1156320.938106	1288593.426625
 50-54 	1946368.571545	901456.322155	1044912.249390
 55-59 	1894317.973087	865516.514235	1028801.458851
 60-64 	1929289.851516	865330.039647	1063959.811869
 65-69 	1554077.268752	671594.254709	882483.014043
 70-74 	1226419.606675	499630.701996	726788.904679
 75-79 	845443.935845	322008.599874	523435.335971
 80+ 	917176.461802	284445.764145	632730.697657
Total	74656501.033190	36785805.283591	37870695.749599
1996			
 0-4	8176436.197297	4197618.237044	3978817.960253
 5-9	9146756.330352	4672165.844579	4474590.485772
 10-14 	8498138.538053	4322287.486640	4175851.051413
 15-19 	7661518.946806	3880146.375177	3781372.571629
 20-24 	7120442.367208	3583128.006872	3537314.360336
 25-29 	6570131.094817	3290681.446835	3279449.647982
 30-34 	6019634.521101	2998617.770804	3021016.750296
 35-39 	5263022.135591	2598481.619208	2664540.516383
 40-44 	4103828.546686	2015399.382814	2088429.163872
 45-49 	2665821.265469	1270312.131555	1395509.133914
 50-54 	1969449.567860	910448.780178	1059000.787682
 55-59 	1872417.421318	855209.191709	1017208.229609
 60-64 	1919671.931523	859902.231607	1059769.699916
 65-69 	1611045.409855	696806.563712	914238.846143
 70-74 	1245429.976671	506647.843378	738782.133293
 75-79 	876285.311379	333094.805403	543190.505975
 80+ 	948772.536302	294914.056480	653858.479822
Total	75668802.098288	37285861.773997	38382940.324291
1997			
 0-4	7770818.760416	3991498.439624	3779320.320792
 5-9	9132494.182747	4669249.039841	4463245.142906
 10-14 	8651346.700993	4401825.023212	4249521.677781
 15-19 	7803779.710625	3954942.641326	3848837.069300
 20-24 	7191809.911173	3620445.770226	3571364.140947
 25-29 	6653108.199366	3331132.403666	3321975.795700
 30-34 	6121337.432596	3050876.301059	3070461.131536
 35-39 	5425950.486006	2680321.753428	2745628.732579
 40-44 	4358097.452871	2140201.903323	2217895.549548
 45-49 	2919443.563407	1401254.126912	1518189.436494
 50-54 	2016373.754779	931465.882634	1084907.872145
 55-59 	1861034.597226	849749.501138	1011285.096088
 60-64 	1893712.797917	847035.728578	1046677.069339
 65-69 	1669305.950425	722313.242484	946992.707941
 70-74 	1262897.190487	513534.865899	749362.324588
 75-79 	910168.839581	344962.154205	565206.685376
 80+ 	980685.732346	305439.483674	675246.248672
Total	76622365.262962	37756248.261230	38866117.001732
1998			
 0-4	7422328.073225	3814321.272737	3608006.800488
 5-9	9011318.700565	4611488.533467	4399830.167098
 10-14 	8797892.035239	4478568.695891	4319323.339349
 15-19 	7962273.704600	4037822.907877	3924450.796723
 20-24 	7265827.111186	3659613.051091	3606214.060094
 25-29 	6739871.720353	3373529.026096	3366342.694257
 30-34 	6212052.633670	3097353.178677	3114699.454993
 35-39 	5571757.960382	2754466.708901	2817291.251481
 40-44 	4595525.162986	2255903.541218	2339621.621768
 45-49 	3194106.087446	1542371.631408	1651734.456038
 50-54 	2096915.910112	969918.598206	1126997.311906
 55-59 	1856696.378627	847099.472220	1009596.906407
 60-64 	1860199.882876	830882.037560	1029317.845316
 65-69 	1719202.453348	743837.354079	975365.099269
 70-74 	1284840.884409	522663.622276	762177.262133
 75-79 	942907.383055	356168.528480	586738.854575
 80+ 	1014735.844699	316622.642536	698113.202163
Total	77548451.926779	38212630.802720	39335821.124060
1999			
 0-4	7142367.088736	3672152.003088	3470215.085648
 5-9	8783180.910024	4498539.365172	4284641.544852
 10-14 	8930468.040880	4548943.595327	4381524.445553
 15-19 	8126443.252883	4123302.951426	4003140.301458
 20-24 	7350389.307761	3704400.006061	3645989.301700
 25-29 	6832066.069774	3419704.668714	3412361.401061
 30-34 	6287098.332007	3134175.826181	3152922.505826
 35-39 	5703187.249538	2822302.561797	2880884.687741
 40-44 	4814085.678111	2362700.820808	2451384.857303
 45-49 	3478697.634956	1687533.568841	1791164.066115
 50-54 	2218721.159532	1029930.000002	1188791.159530
 55-59 	1859402.953967	846846.163436	1012556.790531
 60-64 	1824520.361358	813753.905112	1010766.456246
 65-69 	1753317.546175	757950.335411	995367.210764
 70-74 	1314402.603735	534951.464116	779451.139619
 75-79 	972055.069359	365864.777677	606190.291682
 80+ 	1051944.087918	328791.483758	723152.604159
Total	78442347.346714	38651843.496928	39790503.849786
2000			
 0-4	6941222.805671	3570378.127489	3370844.678182
 5-9	8455637.680627	4334007.193731	4121630.486896
 10-14 	9035672.052503	4606320.016321	4429352.036182
 15-19 	8289186.061648	4207827.081032	4081358.980616
 20-24 	7451532.471898	3757584.391635	3693948.080263
 25-29 	6899155.408187	3451211.345386	3447944.062801
 30-34 	6372212.267782	3176847.339285	3195364.928497
 35-39 	5822513.908562	2885370.933467	2937142.975095
 40-44 	5011932.236569	2460880.481131	2551051.755438
 45-49 	3766092.667916	1833143.811771	1932948.856145
 50-54 	2385799.037696	1113556.013764	1272243.023932
 55-59 	1870906.084444	849561.502432	1021344.582011
 60-64 	1788271.101231	796098.257994	992172.843237
 65-69 	1768872.119653	763319.446041	1005552.673612
 70-74 	1351916.953683	550070.979281	801845.974401
 75-79 	996938.558790	373759.059870	623179.498921
 80+ 	1092414.581678	341951.807817	750462.773861
Total	79300275.998537	39071887.788446	40228388.210091
2001			
 0-4	6803272.544373	3501106.746947	3302165.797426
 5-9	8069895.859503	4139166.446121	3930729.413382
 10-14 	9093254.307790	4640297.899971	4452956.407819
 15-19 	8441515.145085	4286925.581229	4154589.563856
 20-24 	7565695.936677	3817110.123455	3748585.813222
 25-29 	6967446.923588	3484697.821443	3482749.102145
 30-34 	6445810.653202	3211770.512698	3234040.140504
 35-39 	5926336.204249	2941173.273678	2985162.930571
 40-44 	5189098.072479	2551719.810493	2637378.261985
 45-49 	4036474.219707	1968437.217804	2068037.001904
 50-54 	2606628.520871	1225677.309236	1380951.211635
 55-59 	1890229.148390	854499.397852	1035729.750538
