Vietnam	Total	Male	Female
 0-4	25944.874493	14070.348207	11874.526287
 5-9	3351.335018	2212.113182	1139.221836
 10-14 	2775.708217	1864.771093	910.937124
 15-19 	5363.538438	3201.073535	2162.464903
 20-24 	8793.177850	5740.178754	3052.999096
 25-29 	13419.633130	9519.997472	3899.635658
 30-34 	14420.083063	10607.934355	3812.148708
 35-39 	15411.326397	11542.278762	3869.047635
 40-44 	17982.245776	13477.077445	4505.168331
 45-49 	22860.685690	17179.006373	5681.679317
 50-54 	31302.184679	23076.313805	8225.870873
 55-59 	40447.846377	28312.990256	12134.856121
 60-64 	44092.250963	29162.436567	14929.814396
 65-69 	42389.784020	26187.590292	16202.193728
 70-74 	38962.274851	21827.621069	17134.653781
 75-79 	47146.636040	24039.504787	23107.131253
 80+ 	192029.624528	69748.538992	122281.085535
Total	566693.209530	311769.774947	254923.434583
2018			
 0-4	24971.608403	13481.015917	11490.592486
 5-9	3285.139375	2166.622639	1118.516737
 10-14 	2752.471176	1849.825459	902.645717
 15-19 	5306.855604	3169.192856	2137.662749
 20-24 	8299.240557	5416.100440	2883.140117
 25-29 	13024.768877	9240.840197	3783.928681
 30-34 	14465.262273	10656.047536	3809.214737
 35-39 	15578.995343	11662.308456	3916.686887
 40-44 	17968.189731	13438.423052	4529.766678
 45-49 	22837.058596	17121.775431	5715.283165
 50-54 	31349.477688	23079.391934	8270.085754
 55-59 	40990.600502	28691.363121	12299.237381
 60-64 	46053.655348	30465.325182	15588.330166
 65-69 	46397.165580	28816.660092	17580.505488
 70-74 	40370.429427	22632.413245	17738.016182
 75-79 	46548.870857	23723.288724	22825.582134
 80+ 	193506.770783	70082.814867	123423.955915
Total	573706.560120	315693.409147	258013.150973
2019			
 0-4	23893.221245	12803.860446	11089.360799
 5-9	3196.731230	2096.355063	1100.376167
 10-14 	2711.766104	1819.807962	891.958142
 15-19 	5278.809154	3151.219727	2127.589427
 20-24 	7923.405537	5168.782380	2754.623158
 25-29 	12478.334695	8841.686924	3636.647771
 30-34 	14477.278213	10672.535073	3804.743141
 35-39 	15718.167902	11763.249978	3954.917923
 40-44 	17972.990924	13413.669148	4559.321776
 45-49 	22813.661023	17064.166904	5749.494120
 50-54 	31285.728109	22988.239345	8297.488765
 55-59 	41395.117900	28969.221064	12425.896836
 60-64 	47712.114715	31561.596989	16150.517727
 65-69 	50470.205698	31478.264325	18991.941373
 70-74 	42606.270404	23967.691691	18638.578713
 75-79 	46186.058574	23505.801498	22680.257075
 80+ 	194470.080780	70259.448312	124210.632468
Total	580589.942207	319525.596827	261064.345380
2020			
 0-4	22781.549982	12093.006179	10688.543803
 5-9	3094.808277	2012.117913	1082.690364
 10-14 	2653.775600	1776.973453	876.802147
 15-19 	5261.452309	3137.521429	2123.930880
 20-24 	7654.265744	4991.153083	2663.112661
 25-29 	11794.026564	8339.781451	3454.245113
 30-34 	14425.051195	10637.116222	3787.934974
 35-39 	15799.828188	11827.278146	3972.550042
 40-44 	18000.003616	13408.793959	4591.209658
 45-49 	22703.743414	16938.064935	5765.678479
 50-54 	31260.184612	22926.132030	8334.052583
 55-59 	41684.825671	29161.788588	12523.037083
 60-64 	49087.910413	32467.927869	16619.982543
 65-69 	54428.791206	34049.025506	20379.765700
 70-74 	45699.041128	25854.110732	19844.930395
 75-79 	46132.232146	23435.657278	22696.574868
 80+ 	195064.586805	70331.645417	124732.941388
Total	587526.076869	323388.094190	264137.982680
2021			
 0-4	21744.904068	11416.130096	10328.773972
 5-9	2993.773825	1927.100417	1066.673408
 10-14 	2597.097701	1732.829511	864.268190
 15-19 	5266.638022	3135.936025	2130.701997
 20-24 	7495.634631	4882.769404	2612.865227
 25-29 	11150.565371	7859.680588	3290.884782
 30-34 	14455.073426	10644.404291	3810.669135
 35-39 	16078.957161	12025.883227	4053.073934
 40-44 	18271.306569	13578.117433	4693.189136
 45-49 	22788.284272	16958.193391	5830.090881
 50-54 	31298.190147	22894.079249	8404.110897
 55-59 	41922.733072	29304.904113	12617.828959
 60-64 	50253.444936	33238.092928	17015.352008
 65-69 	57996.847595	36333.124221	21663.723374
 70-74 	49855.978188	28425.522913	21430.455275
 75-79 	46401.461390	23520.763128	22880.698261
 80+ 	195620.756625	70426.355595	125194.401030
Total	596191.646998	328303.886530	267887.760468
2022			
 0-4	20822.402277	10803.356473	10019.045804
 5-9	2895.467979	1843.775909	1051.692070
 10-14 	2538.265679	1685.813521	852.452158
 15-19 	5272.723597	3128.446569	2144.277027
 20-24 	7411.139883	4815.202138	2595.937745
 25-29 	10539.521484	7401.424473	3138.097011
 30-34 	14345.288825	10541.768804	3803.520022
 35-39 	16307.437991	12192.598843	4114.839148
 40-44 	18559.323335	13767.453285	4791.870050
 45-49 	22843.946190	16953.510344	5890.435846
 50-54 	31304.509553	22833.288239	8471.221314
 55-59 	42076.265951	29378.952274	12697.313677
 60-64 	51200.233079	33863.167264	17337.065814
 65-69 	61155.278869	38332.686034	22822.592834
 70-74 	54694.080487	31421.338214	23272.742273
 75-79 	47382.047051	24005.631630	23376.415421
 80+ 	196163.093537	70530.892948	125632.200589
Total	605511.025767	333499.306964	272011.718803
2023			
 0-4	20045.801786	10234.236383	9811.565403
 5-9	2800.734649	1763.376854	1037.357795
 10-14 	2478.906107	1638.033666	840.872441
 15-19 	5271.101832	3109.676828	2161.425004
 20-24 	7385.884309	4780.475355	2605.408954
 25-29 	10016.708480	7008.383094	3008.325386
 30-34 	14060.536149	10301.884265	3758.651884
 35-39 	16514.718822	12344.730172	4169.988650
 40-44 	18875.216271	13980.095397	4895.120874
 45-49 	22915.397990	16959.043705	5956.354284
 50-54 	31312.909594	22769.070847	8543.838747
 55-59 	42136.519030	29373.864362	12762.654668
