Vietnam_test	Total	Male	Female
 50-54 	40619.327218	19793.030705	20826.296513
 55-59 	36673.459902	17677.588689	18995.871214
 60-64 	31742.734791	14848.926866	16893.807925
 65-69 	24637.337352	11021.922866	13615.414487
 70-74 	15239.700444	6347.048162	8892.652282
 75-79 	8225.679308	3026.861040	5198.818267
 80+ 	12502.561893	3792.140781	8710.421112
Total	652044.462949	322122.234889	329922.228060
2024			
 0-4	36818.302954	19035.671436	17782.631518
 5-9	44719.133386	23257.454045	21461.679341
 10-14 	30153.389227	15779.896929	14373.492299
 15-19 	47834.369570	24993.605034	22840.764537
 20-24 	51839.324765	26734.773177	25104.551588
 25-29 	51870.390316	26535.629484	25334.760832
 30-34 	61259.205531	31056.664563	30202.540968
 35-39 	59744.269137	29934.948853	29809.320285
 40-44 	51890.066109	25707.668889	26182.397220
 45-49 	45244.206322	22159.201444	23085.004877
 50-54 	41245.220574	20075.360316	21169.860258
 55-59 	37171.329183	17913.021449	19258.307734
 60-64 	32529.535200	15265.966901	17263.568299
 65-69 	25890.940632	11619.657221	14271.283411
 70-74 	16752.900235	7044.356407	9708.543828
 75-79 	8835.011743	3282.764337	5552.247406
 80+ 	12633.114929	3830.209461	8802.905468
Total	656430.709814	324226.849947	332203.859868
2025			
 0-4	36203.226007	18689.143744	17514.082263
 5-9	43943.491958	22821.561329	21121.930628
 10-14 	29905.128669	15631.572440	14273.556229
 15-19 	48050.065290	25135.660582	22914.404708
 20-24 	52414.907538	27094.303848	25320.603690
 25-29 	50671.867967	25932.788233	24739.079733
 30-34 	59001.742898	29952.354691	29049.388207
 35-39 	60712.388769	30468.653011	30243.735758
 40-44 	53212.801472	26401.690946	26811.110525
 45-49 	46093.432818	22584.280397	23509.152421
 50-54 	41753.949831	20291.451504	21462.498327
 55-59 	37744.815615	18186.052697	19558.762918
 60-64 	33262.233995	15656.107903	17606.126092
 65-69 	27026.492729	12170.122147	14856.370582
 70-74 	18273.099554	7742.554294	10530.545259
 75-79 	9642.388002	3629.679641	6012.708361
 80+ 	12794.161674	3879.067826	8915.093848
Total	660706.194782	326267.045232	334439.149549
2026			
 0-4	35653.822020	18375.466116	17278.355904
 5-9	43141.998875	22374.788501	20767.210374
 10-14 	29596.989235	15448.667730	14148.321504
 15-19 	48096.956971	25177.069303	22919.887668
 20-24 	53062.347244	27501.515256	25560.831988
 25-29 	49991.627816	25592.679772	24398.948044
 30-34 	56387.646721	28660.462170	27727.184551
 35-39 	61370.859451	30851.392221	30519.467230
 40-44 	54516.034935	27086.224847	27429.810087
 45-49 	47075.850301	23085.451670	23990.398630
 50-54 	42335.207109	20556.131216	21779.075893
 55-59 	38278.897645	18425.635849	19853.261796
 60-64 	33931.400697	16007.187278	17924.213420
 65-69 	28052.091693	12680.419770	15371.671923
 70-74 	19710.332533	8397.869161	11312.463372
 75-79 	10680.387335	4084.125770	6596.261565
 80+ 	12999.345211	3943.891569	9055.453643
Total	664881.795791	328248.978200	336632.817592
2027			
 0-4	35182.358664	18103.753477	17078.605187
 5-9	42345.278360	21930.852089	20414.426270
 10-14 	29227.025526	15232.863413	13994.162113
 15-19 	48002.520043	25132.873384	22869.646660
 20-24 	53685.146969	27894.805396	25790.341573
 25-29 	49793.666723	25507.232768	24286.433955
 30-34 	53809.051469	27379.474767	26429.576703
 35-39 	61417.303552	30927.016672	30490.286881
 40-44 	55783.045530	27754.377499	28028.668031
 45-49 	48199.082339	23665.373737	24533.708601
 50-54 	42910.165592	20820.037592	22090.128000
 55-59 	38832.847543	18672.073227	20160.774316
 60-64 	34570.456968	16337.107073	18233.349894
 65-69 	28980.990235	13153.436222	15827.554013
 70-74 	21064.836257	9015.356017	12049.480240
 75-79 	11865.924912	4606.587503	7259.337410
 80+ 	13299.022370	4046.782824	9252.239546
Total	668968.723053	330180.003659	338788.719393
2028			
 0-4	34793.304628	17879.544455	16913.760173
 5-9	41579.600042	21502.292165	20077.307877
 10-14 	28802.208839	14989.086596	13813.122243
 15-19 	47801.712816	25022.949656	22778.763160
 20-24 	54208.033225	28228.544236	25979.488989
 25-29 	50008.539572	25647.774611	24360.764961
 30-34 	51517.556350	26235.999572	25281.556778
 35-39 	60688.861857	30610.579017	30078.282840
