Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 45-49 	393.525580	305.973312	87.552268
 50-54 	178.024297	136.225149	41.799148
 55-59 	55.207511	42.172279	13.035232
 60-64 	11.994886	9.815442	2.179444
 65-69 	2.171814	1.939503	0.232311
 70-74 	0.315212	0.292534	0.022678
 75-79 	0.110693	0.098064	0.012629
 80+ 	0.054726	0.045551	0.009175
Total	4863.320679	3490.622135	1372.698544
2009			
 0-4	8.081899	4.176478	3.905421
 5-9	10.482868	5.402816	5.080052
 10-14 	6.611501	3.399948	3.211553
 15-19 	144.239587	95.767817	48.471770
 20-24 	673.890830	453.332968	220.557861
 25-29 	965.701917	665.560848	300.141069
 30-34 	869.318555	637.403798	231.914757
 35-39 	750.402502	587.088612	163.313890
 40-44 	578.987336	466.401664	112.585672
 45-49 	382.139453	310.134222	72.005232
 50-54 	177.051045	142.621561	34.429484
 55-59 	58.494744	47.178724	11.316021
 60-64 	12.979197	10.969091	2.010106
 65-69 	2.394512	2.161399	0.233113
 70-74 	0.361767	0.340245	0.021522
 75-79 	0.110337	0.099732	0.010604
 80+ 	0.053972	0.046854	0.007118
Total	4641.302022	3432.086776	1209.215245
2010			
 0-4	6.728728	3.473637	3.255092
 5-9	10.110048	5.213592	4.896456
 10-14 	7.467766	3.846160	3.621606
 15-19 	123.492760	81.835399	41.657361
 20-24 	564.800328	383.475177	181.325152
 25-29 	852.908447	587.504896	265.403550
 30-34 	789.501451	573.432969	216.068482
 35-39 	679.207511	525.860144	153.347367
 40-44 	525.016842	419.709243	105.307599
 45-49 	352.623587	282.297106	70.326481
 50-54 	168.558475	133.151439	35.407036
 55-59 	58.977222	46.515367	12.461855
 60-64 	13.407417	11.006112	2.401305
 65-69 	2.396133	2.101361	0.294772
 70-74 	0.375305	0.348303	0.027001
 75-79 	0.102957	0.092510	0.010447
 80+ 	0.049672	0.042475	0.007197
Total	4155.724649	3059.905890	1095.818759
2011			
 0-4	5.809359	2.997523	2.811837
 5-9	9.555659	4.928272	4.627387
 10-14 	8.437053	4.348576	4.088477
 15-19 	107.712760	71.333610	36.379151
 20-24 	496.022346	338.484725	157.537622
 25-29 	782.425462	538.024735	244.400727
 30-34 	751.036047	539.459668	211.576378
 35-39 	638.865127	489.044907	149.820220
 40-44 	490.618330	388.757792	101.860538
 45-49 	332.611002	264.286535	68.324467
 50-54 	162.692691	127.320591	35.372100
 55-59 	60.021643	46.805434	13.216210
 60-64 	14.444769	11.646315	2.798454
 65-69 	2.479883	2.115401	0.364482
 70-74 	0.408227	0.373539	0.034688
 75-79 	0.099394	0.089278	0.010116
 80+ 	0.047324	0.040338	0.006986
Total	3863.287078	2830.057238	1033.229839
2012			
 0-4	5.678165	2.937287	2.740878
 5-9	8.564245	4.411071	4.153174
 10-14 	9.020754	4.645551	4.375204
 15-19 	94.397683	63.147292	31.250391
 20-24 	437.137910	308.192129	128.945780
 25-29 	709.052987	511.497554	197.555433
 30-34 	710.862906	532.651626	178.211280
 35-39 	603.866948	478.621562	125.245386
