Vietnam_test	Total	Male	Female
 15-19 	30018.813918	15515.735615	14503.078303
 20-24 	30912.786971	16070.217125	14842.569846
 25-29 	30898.497780	16132.632904	14765.864875
 30-34 	29719.847528	15451.900306	14267.947222
 35-39 	27349.491345	14026.150774	13323.340570
 40-44 	28871.439125	14704.006963	14167.432162
 45-49 	34672.966489	17424.174843	17248.791645
 50-54 	32402.932923	15974.456103	16428.476820
 55-59 	27963.863028	13488.592612	14475.270416
 60-64 	24290.227418	11464.198277	12826.029140
 65-69 	21292.382509	9845.020005	11447.362503
 70-74 	18003.616617	8044.170889	9959.445727
 75-79 	13974.038363	5841.045455	8132.992908
 80+ 	14775.228717	5117.957713	9657.271004
Total	427618.352280	211146.069866	216472.282414
2040			
 0-4	35509.077210	18208.420493	17300.656717
 5-9	17934.549965	9199.701642	8734.848323
 10-14 	8692.170521	4461.737531	4230.432990
 15-19 	29405.590601	15177.556070	14228.034530
 20-24 	30344.864860	15749.368334	14595.496526
 25-29 	30621.478151	15981.823909	14639.654242
 30-34 	29871.940375	15561.654418	14310.285956
 35-39 	27489.375567	14118.324205	13371.051363
 40-44 	27668.958190	14107.355361	13561.602829
 45-49 	33963.304846	17099.403686	16863.901160
 50-54 	32920.316462	16255.975600	16664.340862
 55-59 	28641.480534	13843.453292	14798.027242
 60-64 	24610.217653	11620.592032	12989.625621
 65-69 	21597.876604	9979.810060	11618.066544
 70-74 	18287.692260	8183.421462	10104.270798
 75-79 	14327.407387	6021.850092	8305.557295
 80+ 	15686.063476	5478.866193	10207.197283
Total	427572.364662	211049.314379	216523.050283
2041			
 0-4	35315.851662	18109.083711	17206.767951
 5-9	17853.088418	9158.059408	8695.029010
 10-14 	8613.840955	4419.868099	4193.972856
 15-19 	28836.978716	14861.590362	13975.388354
 20-24 	29722.022317	15403.194590	14318.827728
 25-29 	30303.239854	15803.506335	14499.733519
 30-34 	29896.683845	15591.926176	14304.757669
 35-39 	27712.975376	14265.975962	13446.999414
 40-44 	26884.849352	13719.819078	13165.030275
 45-49 	32752.622151	16518.053878	16234.568274
 50-54 	33338.414736	16492.237472	16846.177264
 55-59 	29318.985572	14199.975736	15119.009836
 60-64 	24996.245326	11813.864010	13182.381316
 65-69 	21923.889647	10128.061206	11795.828441
 70-74 	18512.131397	8287.414795	10224.716602
 75-79 	14652.167590	6188.664768	8463.502822
 80+ 	16581.575910	5835.853040	10745.722870
Total	427215.562824	210797.148624	216418.414200
2042			
 0-4	35092.495008	17994.245973	17098.249035
 5-9	17766.224672	9113.580392	8652.644280
 10-14 	8548.063482	4385.735656	4162.327826
 15-19 	28325.007636	14575.314717	13749.692919
 20-24 	29069.243744	15044.930295	14024.313450
 25-29 	29936.114155	15593.821087	14342.293068
 30-34 	29796.682392	15546.019878	14250.662514
 35-39 	27982.719326	14447.778993	13534.940333
 40-44 	26490.133195	13527.427556	12962.705639
 45-49 	31164.334815	15741.688665	15422.646150
 50-54 	33616.544052	16663.130430	16953.413622
 55-59 	29967.634590	14542.615938	15425.018652
 60-64 	25466.319019	12052.889219	13413.429800
 65-69 	22197.389651	10251.227678	11946.161974
 70-74 	18748.777869	8395.900975	10352.876894
 75-79 	14951.860884	6341.766082	8610.094802
 80+ 	17459.194777	6187.954666	11271.240110
Total	426578.739268	210406.028200	216172.711069
2043			
 0-4	34839.024560	17863.933385	16975.091175
 5-9	17672.646373	9065.595059	8607.051314
 10-14 	8491.496077	4356.811080	4134.684997
 15-19 	27872.382718	14322.507038	13549.875680
 20-24 	28411.743041	14686.474325	13725.268716
 25-29 	29503.645907	15345.584354	14158.061553
 30-34 	29597.130751	15443.340566	14153.790184
 35-39 	28248.209953	14631.238823	13616.971130
 40-44 	26341.983030	13458.947628	12883.035402
 45-49 	29456.542786	14901.339452	14555.203334
 50-54 	33696.786504	16738.489052	16958.297452
 55-59 	30561.573380	14857.731319	15703.842061
 60-64 	26005.708736	12330.552234	13675.156502
 65-69 	22440.778127	10363.218560	12077.559567
 70-74 	19001.031648	8508.898608	10492.133041
 75-79 	15231.971304	6482.718853	8749.252451
 80+ 	18315.979421	6533.842282	11782.137139
Total	425688.634316	209891.222619	215797.411696
2044			
 0-4	34555.814447	17718.351874	16837.462573
 5-9	17571.749976	9013.800575	8557.949401
 10-14 	8440.886008	4330.909801	4109.976207
 15-19 	27478.952668	14105.268822	13373.683846
 20-24 	27770.845337	14336.874742	13433.970594
 25-29 	28996.277723	15056.845304	13939.432420
 30-34 	29335.962696	15306.528826	14029.433870
 35-39 	28454.495580	14779.107176	13675.388404
 40-44 	26325.039672	13460.945373	12864.094299
 45-49 	27919.179896	14143.800776	13775.379119
 50-54 	33441.331036	16646.721261	16794.609775
 55-59 	31091.590939	15141.754216	15949.836723
 60-64 	26592.866298	12635.731175	13957.135122
 65-69 	22686.048496	10479.919896	12206.128601
 70-74 	19261.906289	8623.933961	10637.972328
 75-79 	15497.834347	6613.599658	8884.234689
 80+ 	19148.622121	6871.719071	12276.903050
Total	424569.403529	209265.812507	215303.591022
2045			
 0-4	34244.432375	17558.314751	16686.117624
 5-9	17462.942257	8957.900565	8505.041691
 10-14 	8393.657171	4306.725303	4086.931868
 15-19 	27145.250341	13924.462843	13220.787498
 20-24 	27163.752418	14003.920307	13159.832111
 25-29 	28425.954893	14736.840005	13689.114889
 30-34 	29037.494998	15145.739435	13891.755563
 35-39 	28564.617356	14866.365613	13698.251743
 40-44 	26421.828717	13530.698542	12891.130175
 45-49 	26720.688393	13553.683550	13167.004842
 50-54 	32719.757790	16319.864806	16399.892984
 55-59 	31554.274905	15395.150907	16159.123998
 60-64 	27210.561971	12958.727625	14251.834346
 65-69 	22966.953925	10617.764005	12349.189920
 70-74 	19529.160108	8741.021427	10788.138681
 75-79 	15738.557092	6729.390291	9009.166800
 80+ 	19955.680524	7200.207792	12755.472731
Total	423255.565234	208546.777768	214708.787466
2046			
 0-4	33907.904940	17385.380563	16522.524377
 5-9	17345.628271	8897.604593	8448.023678
 10-14 	8347.868741	4283.266854	4064.601887
 15-19 	26866.364472	13777.164836	13089.199636
 20-24 	26606.243932	13695.764348	12910.479584
 25-29 	27812.224239	14397.298413	13414.925825
 30-34 	28708.266495	14963.187718	13745.078777
 35-39 	28560.737371	14881.726866	13679.010505
 40-44 	26606.294276	13657.221880	12949.072396
 45-49 	25934.272247	13168.134917	12766.137330
 50-54 	31524.922279	15752.494765	15772.427514
 55-59 	31928.468358	15608.835450	16319.632908
 60-64 	27833.555617	13285.802508	14547.753109
