Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 80+ 	356.770403	240.160432	116.609971
Total	331950.066917	246415.543630	85534.523287
2031			
 0-4	930.562012	478.373504	452.188508
 5-9	1152.218440	598.593668	553.624772
 10-14 	1510.749011	798.324197	712.424814
 15-19 	7355.810894	4740.285562	2615.525332
 20-24 	18647.879912	12754.648650	5893.231262
 25-29 	24305.547885	17523.065307	6782.482578
 30-34 	27848.734253	21222.886511	6625.847742
 35-39 	38056.861894	29767.742245	8289.119649
 40-44 	48956.648989	37932.185574	11024.463415
 45-49 	50536.433611	37589.012149	12947.421462
 50-54 	40952.295497	30065.362933	10886.932564
 55-59 	29407.968110	22053.719553	7354.248557
 60-64 	20344.242136	15407.775034	4936.467102
 65-69 	12741.024306	9408.863125	3332.161182
 70-74 	6557.398784	4601.288903	1956.109882
 75-79 	2241.467308	1509.822358	731.644950
 80+ 	486.237513	322.015718	164.221795
Total	332032.080555	246773.964992	85258.115563
2032			
 0-4	902.904662	464.123370	438.781292
 5-9	1090.550140	566.017159	524.532981
 10-14 	1418.981264	749.088568	669.892695
 15-19 	7170.042329	4631.301994	2538.740335
 20-24 	18504.448542	12680.849483	5823.599058
 25-29 	24805.498864	17876.568618	6928.930246
 30-34 	27461.932668	20941.545799	6520.386869
 35-39 	35370.921637	27780.581000	7590.340637
 40-44 	46942.640443	36656.066680	10286.573763
 45-49 	49695.399994	37291.488937	12403.911056
 50-54 	42199.556012	30847.312148	11352.243864
 55-59 	30505.123567	22738.985747	7766.137820
 60-64 	21370.081598	16120.661904	5249.419694
 65-69 	13684.563662	10148.622455	3535.941207
 70-74 	7387.522535	5195.861296	2191.661239
 75-79 	2743.493793	1845.328123	898.165671
 80+ 	654.517112	428.192982	226.324130
Total	331908.178824	246962.596266	84945.582558
2033			
 0-4	880.443506	452.582244	427.861262
 5-9	1037.665704	538.088620	499.577084
 10-14 	1327.732780	700.281587	627.451193
 15-19 	6981.263981	4518.736283	2462.527698
 20-24 	18268.655905	12546.951076	5721.704829
 25-29 	25269.004789	18202.966260	7066.038530
 30-34 	27417.284338	20911.307369	6505.976969
 35-39 	33066.756326	26070.417104	6996.339222
 40-44 	44583.236861	35063.542499	9519.694362
 45-49 	48541.460754	36794.486959	11746.973795
 50-54 	43131.688992	31464.089426	11667.599566
 55-59 	31649.347686	23438.304324	8211.043362
 60-64 	22398.299597	16821.734465	5576.565132
 65-69 	14621.275274	10867.028889	3754.246385
 70-74 	8207.411576	5793.973465	2413.438112
 75-79 	3305.462505	2221.943612	1083.518893
 80+ 	867.126995	562.087475	305.039520
Total	331554.117568	246968.521656	84585.595912
2034			
 0-4	861.477619	442.843920	418.633699
 5-9	992.725120	514.421774	478.303346
 10-14 	1237.269669	651.787837	585.481832
 15-19 	6817.091274	4416.081596	2401.009678
 20-24 	17987.605618	12382.594477	5605.011141
 25-29 	25582.132035	18429.908299	7152.223736
 30-34 	27590.880487	21051.013749	6539.866739
 35-39 	31283.460073	24738.460919	6544.999154
 40-44 	41934.962430	33191.139861	8743.822570
 45-49 	47147.136047	36110.010987	11037.125060
 50-54 	43640.240888	31875.892204	11764.348684
 55-59 	32870.284290	24174.156163	8696.128126
 60-64 	23430.279087	17503.788700	5926.490387
 65-69 	15528.878913	11546.283875	3982.595038
 70-74 	9024.259392	6406.424804	2617.834588
 75-79 	3919.651786	2634.705608	1284.946178
 80+ 	1129.758492	727.235086	402.523406
Total	330978.093221	246796.749859	84181.343362
2035			
 0-4	844.220397	433.984386	410.236011
 5-9	955.603675	494.947149	460.656526
 10-14 	1157.026353	608.715245	548.311108
 15-19 	6644.900609	4307.781287	2337.119322
 20-24 	17666.920187	12189.187442	5477.732745
 25-29 	25749.239200	18554.305303	7194.933896
 30-34 	27952.279039	21322.741710	6629.537329
 35-39 	30029.111744	23807.088764	6222.022980
 40-44 	39074.720507	31107.928957	7966.791550
 45-49 	45588.440828	35289.129742	10299.311087
 50-54 	43661.590840	32024.782879	11636.807961
 55-59 	34138.112854	24925.834066	9212.278787
 60-64 	24390.018519	18115.486886	6274.531632
 65-69 	16483.851967	12253.523697	4230.328269
 70-74 	9839.371370	7018.897912	2820.473458
 75-79 	4569.900644	3073.444316	1496.456329
 80+ 	1449.437809	928.157081	521.280728
Total	330194.746541	246455.936822	83738.809719
2036			
 0-4	826.338058	424.801831	401.536227
 5-9	924.917109	478.945744	445.971365
 10-14 	1091.448717	573.617690	517.831026
 15-19 	6462.400515	4192.580524	2269.819991
 20-24 	17362.299336	11996.506180	5365.793156
 25-29 	25713.375095	18548.695325	7164.679770
 30-34 	28427.422738	21679.506665	6747.916074
 35-39 	29158.544792	23173.211948	5985.332844
 40-44 	36206.448464	28979.176223	7227.272242
 45-49 	43898.646091	34309.042312	9589.603779
 50-54 	43175.743649	31903.563056	11272.180593
 55-59 	35369.204239	25662.513306	9706.690933
 60-64 	25389.086528	18747.764586	6641.321942
 65-69 	17411.780377	12901.745265	4510.035112
 70-74 	10644.610215	7635.655035	3008.955180
 75-79 	5239.679024	3532.906834	1706.772190
 80+ 	1830.702453	1167.453832	663.248621
Total	329132.647401	245907.686355	83224.961046
2037			
 0-4	806.753690	414.742225	392.011465
 5-9	899.289069	465.657395	433.631674
 10-14 	1035.291508	543.683170	491.608338
 15-19 	6269.667162	4070.947148	2198.720014
 20-24 	17069.958455	11803.061643	5266.896812
 25-29 	25522.610653	18439.982092	7082.628561
 30-34 	28921.116865	22048.210434	6872.906431
 35-39 	28708.867800	22851.730852	5857.136949
 40-44 	33580.404630	27009.662833	6570.741797
 45-49 	41935.024873	33063.323737	8871.701135
 50-54 	42276.499602	31553.754799	10722.744803
 55-59 	36461.931715	26328.189054	10133.742661
 60-64 	26390.756471	19360.247037	7030.509434
 65-69 	18338.607329	13532.456836	4806.150493
 70-74 	11460.487841	8261.537189	3198.950652
 75-79 	5916.395541	4000.881869	1915.513673
 80+ 	2277.631297	1447.588640	830.042657
Total	327871.294502	245195.656952	82675.637550
2038			
 0-4	785.342841	403.740350	381.602492
 5-9	877.732621	454.522972	423.209649
 10-14 	986.668081	517.771167	468.896913
 15-19 	6086.535018	3954.393996	2132.141023
 20-24 	16738.171362	11580.922793	5157.248569
 25-29 	25219.665343	18254.337502	6965.327842
 30-34 	29376.744833	22382.850563	6993.894270
 35-39 	28608.972536	22792.102252	5816.870284
 40-44 	31325.718202	25312.801072	6012.917130
 45-49 	39662.129639	31525.510409	8136.619230
 50-54 	41091.259343	31025.240565	10066.018779
 55-59 	37261.451602	26843.986988	10417.464613
 60-64 	27436.547956	19984.812033	7451.735924
 65-69 	19269.637514	14153.624107	5116.013407
 70-74 	12274.587003	8871.847229	3402.739774
 75-79 	6586.595958	4473.905667	2112.690291
 80+ 	2792.233586	1770.432907	1021.800679
Total	326379.993437	244302.802569	82077.190868
2039			
 0-4	762.398988	391.945880	370.453108
 5-9	858.439557	444.579657	413.859900
 10-14 	944.911084	495.586373	449.324711
 15-19 	5911.896253	3842.566009	2069.330244
 20-24 	16393.336033	11342.745632	5050.590400
 25-29 	24867.247298	18030.284266	6836.963033
 30-34 	29664.135749	22600.820772	7063.314977
 35-39 	28735.716761	22909.364304	5826.352457
 40-44 	29572.076366	23985.842854	5586.233512
 45-49 	37142.647323	29738.288563	7404.358760
 50-54 	39688.709069	30328.639347	9360.069722
 55-59 	37666.315783	27174.233217	10492.082566
 60-64 	28551.466527	20640.156846	7911.309681
 65-69 	20206.320694	14758.823892	5447.496803
 70-74 	13067.849415	9451.760279	3616.089136
 75-79 	7255.931549	4960.795056	2295.136493
 80+ 	3372.099015	2134.430217	1237.668798
Total	324661.497465	243230.863164	81430.634301
2040			
 0-4	738.010381	379.405621	358.604760
 5-9	839.599707	434.877252	404.722456
 10-14 	909.907350	477.070118	432.837232
 15-19 	5744.226482	3734.735302	2009.491180
 20-24 	16025.232049	11086.538059	4938.693990
 25-29 	24455.973551	17762.660766	6693.312785
 30-34 	29790.964999	22699.048822	7091.916177
 35-39 	29056.575310	23162.066927	5894.508383
 40-44 	28320.733805	23045.858176	5274.875630
 45-49 	34455.433968	27772.971679	6682.462289
 50-54 	38140.759792	29510.889271	8629.870521
 55-59 	37618.408407	27266.696666	10351.711741
 60-64 	29707.153072	21306.955207	8400.197865
 65-69 	21082.997244	15305.078488	5777.918756
 70-74 	13904.118451	10056.362373	3847.756078
 75-79 	7926.947443	5450.053412	2476.894032
 80+ 	4009.568474	2535.077700	1474.490774
Total	322726.610487	241986.345839	80740.264648
2041			
 0-4	712.008849	366.034730	345.974119
 5-9	819.905388	424.727072	395.178316
 10-14 	880.807955	461.782554	419.025401
 15-19 	5593.346955	3636.266136	1957.080820
 20-24 	15635.938409	10815.544246	4820.394162
 25-29 	24042.129799	17479.775128	6562.354671
 30-34 	29701.107250	22651.601232	7049.506019
 35-39 	29488.631742	23495.976270	5992.655472
 40-44 	27432.152588	22392.097320	5040.055267
 45-49 	31793.707460	25788.969156	6004.738304
 50-54 	36486.883631	28555.050052	7931.833579
 55-59 	37098.810057	27115.065350	9983.744707
 60-64 	30825.365049	21957.355299	8868.009750
 65-69 	21994.739178	15868.507715	6126.231463
 70-74 	14722.330968	10613.419164	4108.911804
 75-79 	8591.272210	5944.718210	2646.554000
 80+ 	4694.731145	2970.418886	1724.312260
Total	320513.868631	240537.308518	79976.560113
2042			
 0-4	684.191527	351.729360	332.462168
 5-9	798.637815	413.750481	384.887334
 10-14 	856.364859	449.021213	407.343646
 15-19 	5457.968442	3547.325448	1910.642994
 20-24 	15229.856038	10533.485417	4696.370621
 25-29 	23622.708011	17180.565800	6442.142211
 30-34 	29441.957411	22486.860547	6955.096864
 35-39 	29932.674021	23833.435106	6099.238915
 40-44 	26943.047801	22038.187547	4904.860254
 45-49 	29377.258437	23968.770851	5408.487586
 50-54 	34613.349697	27376.015214	7237.334483
 55-59 	36194.411438	26756.207539	9438.203899
 60-64 	31812.431322	22541.538421	9270.892902
 65-69 	22911.208619	16415.177270	6496.031349
 70-74 	15542.727614	11157.169952	4385.557662
 75-79 	9266.682645	6448.438725	2818.243920
 80+ 	5422.307355	3433.709960	1988.597395
Total	318107.783054	238931.388852	79176.394203
2043			
 0-4	654.582622	336.501946	318.080676
 5-9	775.490454	401.785279	373.705176
 10-14 	835.579890	438.218068	397.361822
 15-19 	5337.458192	3468.058450	1869.399742
 20-24 	14833.854069	10256.848837	4577.005232
 25-29 	23144.960088	16837.609449	6307.350639
 30-34 	29059.203208	22233.710265	6825.492944
 35-39 	30330.160042	24125.857657	6204.302385
 40-44 	26785.876882	21934.899865	4850.977017
 45-49 	27312.535217	22408.376409	4904.158809
 50-54 	32504.071556	25961.944753	6542.126803
 55-59 	35023.613306	26234.424594	8789.188712
 60-64 	32526.033369	22989.814100	9536.219270
 65-69 	23868.393983	16971.986572	6896.407412
 70-74 	16368.759328	11693.580974	4675.178355
 75-79 	9944.015945	6941.345348	3002.670597
 80+ 	6184.622541	3924.771055	2259.851487
Total	315489.210696	237159.733618	78329.477077
2044			
 0-4	623.312604	320.419920	302.892684
 5-9	750.564464	388.884612	361.679852
 10-14 	816.809081	428.483778	388.325303
 15-19 	5231.724988	3398.880989	1832.844000
 20-24 	14454.248864	9990.471805	4463.777059
 25-29 	22636.599187	16465.251271	6171.347916
 30-34 	28622.867162	21934.698284	6688.168878
 35-39 	30552.302274	24293.121158	6259.181117
 40-44 	26845.644535	22000.972069	4844.672467
 45-49 	25708.895995	21190.336911	4518.559084
 50-54 	30225.807681	24359.481096	5866.326585
 55-59 	33654.251615	25560.913022	8093.338593
 60-64 	32872.019847	23270.727419	9601.292428
 65-69 	24887.905459	17554.741701	7333.163758
 70-74 	17202.066845	12217.275785	4984.791060
 75-79 	10607.745882	7411.839861	3195.906021
 80+ 	6986.117860	4450.404761	2535.713099
Total	312678.884344	235236.904441	77441.979903
2045			
 0-4	590.525956	303.558004	286.967952
 5-9	724.048076	375.150899	348.897177
 10-14 	798.344041	418.903941	379.440100
 15-19 	5142.609992	3341.134765	1801.475227
 20-24 	14095.359900	9738.002145	4357.357755
 25-29 	22100.780396	16070.565361	6030.215035
 30-34 	28121.172288	21586.155590	6535.016697
 35-39 	30613.941233	24336.957737	6276.983496
 40-44 	27095.596019	22198.568964	4897.027054
 45-49 	24556.614318	20322.536503	4234.077814
 50-54 	27850.780865	22634.605611	5216.175253
 55-59 	32157.775762	24781.212009	7376.563753
 60-64 	32798.533894	23338.096127	9460.437767
 65-69 	25943.747284	18146.188100	7797.559184
 70-74 	17987.265667	12693.297951	5293.967716
 75-79 	11309.925080	7903.711900	3406.213180
 80+ 	7826.685461	4999.982313	2826.703148
Total	309713.706230	233188.627922	76525.078309
2046			
 0-4	556.191129	285.900811	270.290318
 5-9	695.945368	360.589888	335.355481
 10-14 	778.975081	408.830219	370.144862
 15-19 	5071.426887	3295.424849	1776.002038
 20-24 	13772.393814	9509.414453	4262.979361
 25-29 	21547.470380	15663.521927	5883.948453
 30-34 	27615.057503	21218.633114	6396.424390
 35-39 	30468.537641	24240.153297	6228.384344
 40-44 	27458.279209	22477.709370	4980.569839
 45-49 	23728.544504	19712.930127	4015.614378
 50-54 	25538.781093	20921.103046	4617.678048
 55-59 	30581.608669	23885.974304	6695.634365
 60-64 	32288.297656	23186.723785	9101.573871
 65-69 	26963.692329	18721.720176	8241.972153
 70-74 	18803.594912	13183.584911	5620.010002
 75-79 	12002.326361	8359.511778	3642.814583
 80+ 	8691.765846	5574.524019	3117.241827
Total	306562.888385	231006.250074	75556.638311
2047			
 0-4	520.052453	267.317481	252.734973
 5-9	666.191172	345.168241	321.022931
 10-14 	758.060699	397.919840	360.140859
 15-19 	5016.550122	3260.744373	1755.805749
 20-24 	13491.801179	9310.829029	4180.972150
 25-29 	20988.398178	15253.762199	5734.635979
 30-34 	27106.814475	20834.717848	6272.096627
 35-39 	30168.952978	24036.768937	6132.184041
 40-44 	27843.838514	22767.740878	5076.097636
 45-49 	23263.257436	19375.949770	3887.307666
 50-54 	23464.505961	19366.108214	4098.397747
 55-59 	28838.884054	22810.347957	6028.536096
 60-64 	31422.342565	22849.728297	8572.614268
 65-69 	27862.359713	19237.724712	8624.635001
 70-74 	19627.237175	13660.808842	5966.428333
 75-79 	12700.073160	8806.357670	3893.715490
 80+ 	9593.268092	6172.379888	3420.888204
Total	303332.587926	228754.374176	74578.213751
2048			
 0-4	484.530348	249.047596	235.482752
 5-9	634.727379	328.856861	305.870518
 10-14 	735.319720	386.023765	349.295955
 15-19 	4974.407111	3234.746411	1739.660700
 20-24 	13256.956554	9145.284697	4111.671857
 25-29 	20458.001919	14863.042967	5594.958952
 30-34 	26549.345280	20412.631290	6136.713990
 35-39 	29761.151855	23756.045485	6005.106370
 40-44 	28201.169917	23025.815158	5175.354759
 45-49 	23102.479074	19268.773796	3833.705278
 50-54 	21704.015568	18041.613809	3662.401760
 55-59 	26925.163196	21551.075094	5374.088102
 60-64 	30311.041076	22366.783069	7944.258007
 65-69 	28510.148470	19633.436590	8876.711880
 70-74 	20489.007560	14147.230371	6341.777190
 75-79 	13404.706402	9248.123011	4156.583391
 80+ 	10518.987130	6778.543252	3740.443878
Total	300021.158558	226437.073222	73584.085336
2049			
 0-4	450.151787	231.365763	218.786023
 5-9	601.922976	311.847373	290.075603
 10-14 	710.885389	373.213890	337.671499
 15-19 	4940.275290	3214.224976	1726.050314
 20-24 	13066.300784	9012.117407	4054.183377
 25-29 	19965.686715	14499.105442	5466.581274
 30-34 	25971.836318	19968.017019	6003.819299
 35-39 	29316.104885	23440.062888	5876.041996
 40-44 	28406.048160	23176.556837	5229.491323
 45-49 	23150.081050	19323.452533	3826.628517
 50-54 	20340.572351	17010.282061	3330.290290
 55-59 	24901.914774	20150.810772	4751.104002
 60-64 	29020.219635	21748.928050	7271.291585
 65-69 	28820.665552	19881.734336	8938.931216
 70-74 	21407.390204	14656.014250	6751.375954
 75-79 	14117.784463	9680.449422	4437.335040
 80+ 	11459.517166	7389.223776	4070.293390
Total	296647.357499	224067.406796	72579.950703
2050			
 0-4	416.171488	213.893196	202.278291
 5-9	568.358834	294.440703	273.918131
 10-14 	684.985567	359.616579	325.368988
 15-19 	4910.379514	3196.858221	1713.521293
 20-24 	12917.730675	8909.823281	4007.907394
 25-29 	19516.113399	14166.287151	5349.826248
 30-34 	25379.412822	19509.063171	5870.349651
 35-39 	28816.423337	23082.135400	5734.287937
 40-44 	28474.881784	23222.081467	5252.800317
 45-49 	23382.723260	19504.524166	3878.199094
 50-54 	19359.306830	16275.210646	3084.096184
 55-59 	22827.150429	18663.387760	4163.762669
 60-64 	27615.622300	21036.170144	6579.452156
 65-69 	28744.202255	19939.032162	8805.170093
 70-74 	22354.572677	15168.690537	7185.882141
 75-79 	14790.638241	10073.316108	4717.322133
 80+ 	12452.621095	8027.976974	4424.644121
Total	293211.294506	221642.507667	71568.786839
