SouthAfricaIC2	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 20-24 	466991.702845	168609.309915	298382.392930
 25-29 	598680.444808	249643.194533	349037.250275
 30-34 	507880.474516	233759.468904	274121.005612
 35-39 	377962.063375	180069.935463	197892.127912
 40-44 	271209.336012	126686.113392	144523.222620
 45-49 	177573.295514	79033.039606	98540.255908
 50-54 	105355.080098	44304.660327	61050.419772
 55-59 	63751.924770	26672.359371	37079.565399
 60-64 	36633.102109	16713.661497	19919.440612
 65-69 	22261.980430	11190.373832	11071.606598
 70-74 	14628.212034	6607.741640	8020.470394
 75-79 	5586.641819	2665.101763	2921.540056
 80+ 	556.665603	377.770277	178.895326
Total	2898570.465478	1243425.835501	1655144.629978
1999			
 0-4	107899.206590	54608.113832	53291.092758
 5-9	28735.640118	14518.248347	14217.391771
 10-14 	8116.311824	4099.301820	4017.010004
 15-19 	142347.989493	40456.761317	101891.228175
 20-24 	529703.840251	188996.737324	340707.102927
 25-29 	708406.219962	293771.192976	414635.026986
 30-34 	611889.869565	280060.509254	331829.360311
 35-39 	455360.686215	216451.980341	238908.705873
 40-44 	328841.676830	152697.952721	176143.724110
 45-49 	219641.823237	96967.953744	122673.869492
 50-54 	129625.037802	53918.844749	75706.193053
 55-59 	78493.249783	32342.892120	46150.357663
 60-64 	44986.262027	20062.903504	24923.358523
 65-69 	27020.580610	13309.252944	13711.327666
 70-74 	17538.424816	7926.225361	9612.199456
 75-79 	6997.357537	3255.256743	3742.100794
 80+ 	811.665344	518.148652	293.516693
Total	3446415.842004	1473962.275749	1972453.566255
2000			
 0-4	123903.027399	62701.971235	61201.056165
 5-9	36757.225504	18568.400989	18188.824515
 10-14 	11642.354581	5879.564798	5762.789783
 15-19 	146411.704637	41634.874634	104776.830003
 20-24 	574447.679130	202770.888534	371676.790596
 25-29 	803610.144682	330432.764068	473177.380614
 30-34 	708161.553033	322819.157025	385342.396009
 35-39 	528042.456402	250902.557818	277139.898584
 40-44 	381089.006478	176567.930906	204521.075572
 45-49 	259170.418190	113845.106188	145325.312002
 50-54 	152959.869165	63136.564826	89823.304339
 55-59 	92214.696811	37514.402451	54700.294360
 60-64 	53013.168421	23157.793771	29855.374650
 65-69 	31447.295408	15173.123528	16274.171880
 70-74 	20220.369733	9116.796259	11103.573474
 75-79 	8413.350084	3838.269499	4575.080585
 80+ 	1129.059563	677.423756	451.635807
Total	3932633.379223	1678737.590287	2253895.788937
2001			
 0-4	138186.850263	69923.571295	68263.278969
 5-9	45057.737008	22758.153475	22299.583533
 10-14 	15845.480138	8001.153952	7844.326186
 15-19 	146036.846617	41747.777300	104289.069316
 20-24 	601019.711346	210177.645605	390842.065741
 25-29 	880046.286905	358358.144316	521688.142589
 30-34 	794395.393683	360219.646889	434175.746794
 35-39 	594706.083625	282636.890815	312069.192809
 40-44 	425879.803234	197542.538806	228337.264428
 45-49 	294175.954644	128891.720215	165284.234429
 50-54 	174441.540509	71664.858210	102776.682298
 55-59 	104139.552437	41921.526165	62218.026271
 60-64 	60415.061181	25908.009363	34507.051819
 65-69 	35362.375661	16707.303672	18655.071990
 70-74 	22611.978500	10138.434109	12473.544391
 75-79 	9758.693906	4389.238916	5369.454990
 80+ 	1504.901934	850.100983	654.800951
Total	4343584.251590	1851836.714086	2491747.537504
2002			
 0-4	150390.560571	76091.502503	74299.058067
 5-9	53326.853862	26930.969793	26395.884070
 10-14 	20612.982689	10406.983575	10205.999114
 15-19 	143079.182481	41288.412980	101790.769501
 20-24 	611339.787016	212206.332839	399133.454177
 25-29 	936966.345257	377558.765402	559407.579855
 30-34 	868254.169645	391113.445943	477140.723702
 35-39 	655004.487018	311222.136416	343782.350601
 40-44 	462811.776961	215460.133342	247351.643619
 45-49 	323454.619924	141657.346832	181797.273093
 50-54 	193295.581321	79231.404933	114064.176387
 55-59 	114032.283182	45510.651111	68521.632071
 60-64 	66934.179893	28241.976024	38692.203869
 65-69 	38697.167278	17906.023497	20791.143781
 70-74 	24667.049823	10968.310860	13698.738963
 75-79 	10963.887518	4878.562731	6085.324787
 80+ 	1926.683306	1029.798510	896.884796
Total	4675757.597746	1991702.757292	2684054.840454
2003			
 0-4	159053.139564	80465.113670	78588.025894
 5-9	61277.145328	30941.684811	30335.460516
 10-14 	25799.427017	13023.487496	12775.939521
 15-19 	139324.329254	40730.622508	98593.706746
 20-24 	609270.510045	210424.476630	398846.033416
 25-29 	975767.055417	389121.917231	586645.138186
 30-34 	929221.852779	415504.393660	513717.459119
 35-39 	708358.076548	336045.553093	372312.523455
 40-44 	492897.839314	230635.540097	262262.299217
 45-49 	346678.766232	152061.279215	194617.487016
 50-54 	208974.246988	85611.084418	123363.162570
 55-59 	122179.588644	48426.889457	73752.699187
 60-64 	72385.155362	30111.291089	42273.864274
 65-69 	41500.075259	18824.479829	22675.595430
 70-74 	26367.062156	11603.602106	14763.460051
 75-79 	11986.935773	5283.950501	6702.985273
 80+ 	2374.001933	1209.387890	1164.614043
Total	4933415.207615	2100024.753699	2833390.453916
2004			
 0-4	163902.724693	82906.184525	80996.540168
 5-9	68495.064051	34580.912957	33914.151094
 10-14 	31239.553754	15767.091508	15472.462246
 15-19 	135981.569655	40396.472495	95585.097160
 20-24 	599233.067478	206425.595468	392807.472010
 25-29 	999271.871179	394702.412919	604569.458261
 30-34 	980018.018131	435180.254805	544837.763326
 35-39 	753031.346463	355804.944361	397226.402102
 40-44 	518120.879334	243733.207575	274387.671759
 45-49 	364521.973311	160416.665420	204105.307891
 50-54 	221746.383044	90870.903963	130875.479081
 55-59 	129195.162610	50924.700000	78270.462609
 60-64 	76831.655431	31554.533039	45277.122391
 65-69 	43937.288582	19559.178828	24378.109754
 70-74 	27761.985651	12070.511885	15691.473766
 75-79 	12849.899911	5611.565852	7238.334060
 80+ 	2831.469663	1384.084309	1447.385354
Total	5128969.912943	2181889.219909	2947080.693034
2005			
 0-4	165871.820139	83887.178340	81984.641799
 5-9	74687.717257	37700.417928	36987.299329
 10-14 	36731.455631	18535.675137	18195.780494
 15-19 	133718.262374	40473.574708	93244.687666
 20-24 	585418.009879	201573.310302	383844.699577
 25-29 	1011547.771161	396248.749025	615299.022135
 30-34 	1022122.249424	449494.640179	572627.609245
 35-39 	792695.509317	373241.016063	419454.493254
 40-44 	541752.823517	255866.463289	285886.360228
 45-49 	379405.090586	167596.997096	211808.093490
 50-54 	233637.172857	95668.019440	137969.153417
 55-59 	136247.417701	53389.534066	82857.883635
 60-64 	80883.677175	32774.977659	48108.699516
 65-69 	46396.916671	20258.831360	26138.085311
 70-74 	29051.337066	12442.376758	16608.960308
 75-79 	13685.186368	5910.822234	7774.364134
 80+ 	3317.977367	1559.578048	1758.399319
Total	5287170.394490	2246622.161631	3040548.232859
2006			
 0-4	165929.736856	83899.903126	82029.833730
 5-9	79779.418133	40262.065441	39517.352692
 10-14 	42071.983531	21226.551114	20845.432417
 15-19 	132865.929020	41054.707884	91811.221135
 20-24 	571202.180649	196873.463036	374328.717613
 25-29 	1015653.331000	395295.934308	620357.396692
 30-34 	1057066.137537	460186.075347	596880.062190
 35-39 	829852.322624	388657.712459	441194.610166
 40-44 	565941.257523	267834.175438	298107.082085
 45-49 	392685.683334	174182.074092	218503.609243
 50-54 	246021.768108	100524.378537	145497.389571
 55-59 	144128.681148	56134.078697	87994.602451
 60-64 	84895.483140	33913.049795	50982.433345
 65-69 	49150.589194	21038.411263	28112.177931
 70-74 	30357.058765	12770.613403	17586.445362
 75-79 	14565.925687	6212.789869	8353.135818
 80+ 	3846.772807	1740.919447	2105.853361
Total	5426014.259056	2301806.903255	3124207.355801
2007			
 0-4	160929.145490	81346.600104	79582.545386
 5-9	83864.711093	42314.097082	41550.614011
 10-14 	47101.885780	23759.339570	23342.546209
 15-19 	133515.835915	42179.650590	91336.185325
 20-24 	558534.227830	192832.417236	365701.810594
 25-29 	1014997.987005	393226.131492	621771.855513
 30-34 	1088923.434558	469172.051436	619751.383122
 35-39 	867151.220073	403175.488717	463975.731356
 40-44 	593733.164941	280795.253392	312937.911549
 45-49 	407133.718152	181238.936864	225894.781288
 50-54 	260707.642237	106125.233808	154582.408429
 55-59 	153905.008435	59517.427560	94387.580875
 60-64 	89695.796977	35263.237550	54432.559426
 65-69 	52553.573314	22018.812678	30534.760636
 70-74 	31924.639723	13156.535046	18768.104677
 75-79 	15611.645852	6559.264467	9052.381385
 80+ 	4466.473267	1944.832654	2521.640613
Total	5564750.110643	2354625.310247	3210124.800395
2008			
 0-4	157341.074591	79516.082877	77824.991714
 5-9	86552.462495	43659.047108	42893.415386
 10-14 	51729.735057	26088.108721	25641.626336
 15-19 	135900.255032	43932.383850	91967.871182
 20-24 	548410.455699	189686.855744	358723.599955
 25-29 	1011757.259975	390942.529854	620814.730121
 30-34 	1118268.721167	477161.626574	641107.094593
 35-39 	904644.145472	417158.525187	487485.620286
 40-44 	624327.953057	294328.896329	329999.056728
 45-49 	423213.957682	188992.311505	234221.646177
 50-54 	276950.807773	112320.941083	164629.866690
 55-59 	165295.205002	63457.392812	101837.812190
 60-64 	95532.652988	36955.584869	58577.068119
 65-69 	56524.207723	23170.834586	33353.373136
 70-74 	33819.029018	13637.833993	20181.195025
 75-79 	16791.515565	6938.077215	9853.438350
 80+ 	5159.728820	2165.217252	2994.511568
Total	5712219.167114	2410112.249559	3302106.917555
2009			
 0-4	135262.532136	68316.426607	66946.105529
 5-9	88271.881875	44515.855342	43756.026533
 10-14 	55817.879597	28143.524631	27674.354966
 15-19 	139991.687134	46306.287453	93685.399681
 20-24 	540868.114259	187409.548349	353458.565910
 25-29 	1005663.647131	388450.128855	617213.518276
 30-34 	1141371.104951	483334.149827	658036.955124
 35-39 	938903.053842	430027.007912	508876.045930
 40-44 	650910.181094	305362.357379	345547.823715
 45-49 	437494.577277	196160.923872	241333.653404
 50-54 	291035.518752	117905.721299	173129.797453
 55-59 	176219.930852	67279.685883	108940.244969
 60-64 	101558.000591	38768.728718	62789.271873
 65-69 	60386.830025	24275.572048	36111.257977
 70-74 	35795.207802	14138.911075	21656.296727
 75-79 	17866.153264	7265.993690	10600.159574
 80+ 	5813.621497	2363.012594	3450.608903
Total	5823229.922079	2450023.835535	3373206.086544
2010			
 0-4	110679.078197	55870.415392	54808.662804
 5-9	86503.282560	43610.783903	42892.498658
 10-14 	59337.518782	29911.499557	29426.019226
 15-19 	145008.953723	49037.771267	95971.182456
 20-24 	533743.077871	185255.728366	348487.349504
 25-29 	996459.605751	385264.452741	611195.153010
 30-34 	1159403.799244	488109.822968	671293.976276
 35-39 	969359.006677	440315.582550	529043.424128
 40-44 	674520.019748	315559.040529	358960.979219
 45-49 	450371.574790	202875.235747	247496.339043
 50-54 	302701.892375	122802.674579	179899.217796
 55-59 	186713.488168	70960.367570	115753.120599
 60-64 	107784.010460	40702.842173	67081.168287
 65-69 	64070.899997	25301.308496	38769.591501
 70-74 	37890.957498	14668.561294	23222.396203
 75-79 	18805.657514	7520.679269	11284.978245
 80+ 	6425.343827	2537.939464	3887.404363
Total	5909778.167182	2480304.705865	3429473.461317
2011			
 0-4	93212.676876	47043.857508	46168.819369
 5-9	82000.312896	41327.442977	40672.869918
 10-14 	61785.653768	31138.125302	30647.528466
 15-19 	149146.656302	51589.049063	97557.607238
 20-24 	524737.023103	182284.469987	342452.553116
 25-29 	986065.072926	381343.897899	604721.175026
 30-34 	1177716.700527	492884.799103	684831.901424
 35-39 	1006382.558076	452480.717508	553901.840568
 40-44 	704926.321125	327955.555194	376970.765931
 45-49 	470390.074747	212313.054711	258077.020036
 50-54 	317071.731782	128865.827413	188205.904369
