SouthAfricaIC2	Total	Male	Female
 15-19 	76883.917948	24315.146985	52568.770963
 20-24 	318436.156448	109987.946507	208448.209941
 25-29 	598756.102754	231252.877112	367503.225642
 30-34 	732469.712777	308513.788937	423955.923840
 35-39 	687050.465480	307831.677121	379218.788359
 40-44 	537616.786323	250366.428516	287250.357807
 45-49 	372992.257783	175163.058768	197829.199015
 50-54 	214663.688315	99207.973609	115455.714706
 55-59 	135731.656747	61827.825911	73903.830836
 60-64 	86546.627719	40686.535916	45860.091804
 65-69 	51958.269150	25802.878240	26155.390910
 70-74 	31888.722035	15063.324094	16825.397941
 75-79 	16410.628619	7415.188850	8995.439769
 80+ 	5406.510835	2314.510603	3092.000232
Total	3910576.321026	1681881.991604	2228694.329423
2048			
 0-4	20855.612412	10557.625662	10297.986750
 5-9	12389.620007	6262.239117	6127.380891
 10-14 	10113.456514	5107.702589	5005.753925
 15-19 	76692.235605	24262.584422	52429.651184
 20-24 	317212.548867	109511.224680	207701.324187
 25-29 	595491.597811	229833.958436	365657.639375
 30-34 	730351.702152	307619.534145	422732.168007
 35-39 	688639.985712	308542.847121	380097.138591
 40-44 	535098.243581	249150.002057	285948.241525
 45-49 	379143.146361	177944.333026	201198.813335
 50-54 	215656.093416	99558.419254	116097.674162
 55-59 	135812.863112	61758.739210	74054.123902
 60-64 	87341.063379	40930.831061	46410.232318
 65-69 	53614.770760	26573.216529	27041.554231
 70-74 	32882.849648	15564.819347	17318.030301
 75-79 	16564.612676	7554.083297	9010.529379
 80+ 	5394.683629	2341.590516	3053.093113
Total	3913255.085644	1683073.750469	2230181.335175
2049			
 0-4	20702.090267	10479.916947	10222.173320
 5-9	12276.877750	6205.272573	6071.605177
 10-14 	9996.221352	5048.542817	4947.678535
 15-19 	76428.907611	24176.388278	52252.519333
 20-24 	316192.522900	109138.832590	207053.690309
 25-29 	592296.143157	228436.352661	363859.790496
 30-34 	727858.825502	306560.529885	421298.295617
 35-39 	689257.247194	308834.189072	380423.058122
 40-44 	533945.022922	248584.811045	285360.211877
 45-49 	383196.035013	179756.557712	203439.477302
 50-54 	217789.686126	100444.290599	117345.395527
 55-59 	135860.810780	61688.123573	74172.687206
 60-64 	87803.034596	41024.374973	46778.659623
 65-69 	55141.646115	27267.444179	27874.201937
 70-74 	34027.825823	16120.269735	17907.556088
 75-79 	16809.849405	7729.680106	9080.169300
 80+ 	5371.130995	2356.942671	3014.188324
Total	3914953.877507	1683852.519415	2231101.358092
2050			
 0-4	20575.484759	10415.849508	10159.635252
 5-9	12170.234530	6151.384954	6018.849577
 10-14 	9886.387708	4993.113595	4893.274113
 15-19 	76078.071039	24050.366974	52027.704065
 20-24 	315284.296368	108826.641047	206457.655321
 25-29 	589394.573942	227173.021410	362221.552532
 30-34 	725007.960525	305335.280924	419672.679601
 35-39 	689334.249148	308904.504114	380429.745034
 40-44 	534062.909403	248626.589763	285436.319640
 45-49 	384578.059614	180336.004160	204242.055454
 50-54 	221117.791115	101888.604821	119229.186294
 55-59 	135856.764783	61602.639291	74254.125492
 60-64 	88047.687225	41027.384322	47020.302903
 65-69 	56486.873718	27861.263731	28625.609987
 70-74 	35286.431535	16712.859577	18573.571958
 75-79 	17137.813763	7923.448314	9214.365448
 80+ 	5359.162030	2385.687287	2973.474743
Total	3915664.751206	1684214.643792	2231450.107414
