Workshop_1_Demo	Total	Male	Female
 30-34 	14167.414317	7096.681636	7070.732680
 35-39 	11588.756866	5828.471905	5760.284961
 40-44 	9269.287777	4631.553113	4637.734664
 45-49 	7675.423588	3765.447085	3909.976503
 50-54 	6173.819766	2988.608395	3185.211371
 55-59 	4909.767777	2371.852852	2537.914925
 60-64 	3667.002838	1716.819872	1950.182966
 65-69 	2618.457095	1120.660652	1497.796443
 70-74 	1733.209756	679.043692	1054.166064
 75-79 	977.904840	337.336691	640.568149
 80+ 	701.489136	195.859159	505.629978
Total	148664.538125	73343.071056	75321.467069
1989			
 0-4	12068.567940	6065.412215	6003.155724
 5-9	12728.612784	6386.193829	6342.418955
 10-14 	8301.389250	4152.299599	4149.089651
 15-19 	18023.788135	8986.589054	9037.199080
 20-24 	19456.114090	9687.733882	9768.380207
 25-29 	16871.897016	8433.151730	8438.745286
 30-34 	14603.591228	7296.955630	7306.635598
 35-39 	12088.029139	6065.236262	6022.792876
 40-44 	9599.256084	4794.071624	4805.184460
 45-49 	7930.230112	3890.492866	4039.737246
 50-54 	6367.675409	3071.132989	3296.542419
 55-59 	5073.145954	2436.859170	2636.286784
 60-64 	3801.582961	1784.300875	2017.282087
 65-69 	2693.451567	1157.012931	1536.438636
 70-74 	1797.411510	702.556224	1094.855287
 75-79 	1013.263308	350.843148	662.420160
 80+ 	730.097147	203.253987	526.843160
Total	153148.103634	75464.096016	77684.007618
1990			
 0-4	12211.424466	6138.578491	6072.845975
 5-9	13001.867613	6524.695188	6477.172425
 10-14 	8512.849388	4259.187283	4253.662105
 15-19 	18532.874535	9230.950415	9301.924120
 20-24 	20147.038523	10031.262682	10115.775841
 25-29 	17412.932718	8701.152635	8711.780083
 30-34 	15044.444321	7506.752731	7537.691590
 35-39 	12606.896804	6313.813689	6293.083115
 40-44 	9991.088254	4991.079854	5000.008400
 45-49 	8202.277562	4030.870540	4171.407022
 50-54 	6593.795787	3175.762132	3418.033655
 55-59 	5246.429071	2507.135282	2739.293790
 60-64 	3949.272953	1855.062032	2094.210921
 65-69 	2779.560184	1200.808903	1578.751280
 70-74 	1860.913793	726.132303	1134.781490
 75-79 	1054.557104	366.094766	688.462338
 80+ 	759.620247	211.258605	548.361643
Total	157907.843323	77770.597531	80137.245792
1991			
 0-4	12351.081791	6209.695534	6141.386257
 5-9	13276.426118	6664.132861	6612.293257
 10-14 	8739.085872	4373.892604	4365.193267
 15-19 	19088.158869	9524.982151	9563.176718
 20-24 	20885.116099	10373.987326	10511.128773
 25-29 	18084.041397	9015.758442	9068.282955
 30-34 	15557.692403	7745.204436	7812.487967
 35-39 	13177.420148	6575.521986	6601.898162
 40-44 	10496.249025	5236.027992	5260.221034
 45-49 	8516.220941	4193.216030	4323.004911
 50-54 	6894.869605	3324.953674	3569.915931
 55-59 	5465.848710	2605.042421	2860.806289
 60-64 	4136.952042	1943.462925	2193.489117
 65-69 	2899.467821	1265.013912	1634.453909
 70-74 	1929.719998	754.889332	1174.830667
 75-79 	1106.938093	385.449269	721.488824
 80+ 	790.954615	220.689713	570.264902
