Bangladesh	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 65-69 	41082.682484	22744.689991	18337.992493																																																																																																																																																																																																																																																							
 70-74 	45724.208936	25137.005117	20587.203820																																																																																																																																																																																																																																																							
 75-79 	41313.430520	22229.491284	19083.939237																																																																																																																																																																																																																																																							
 80+ 	50438.527647	27190.202319	23248.325328																																																																																																																																																																																																																																																							
Total	1233555.405138	627191.078550	606364.326588																																																																																																																																																																																																																																																							
1976																																																																																																																																																																																																																																																										
 0-4	708655.244804	366980.876326	341674.368478																																																																																																																																																																																																																																																							
 5-9	59840.687750	26679.960774	33160.726976																																																																																																																																																																																																																																																							
 10-14 	21660.591400	9686.666143	11973.925257																																																																																																																																																																																																																																																							
 15-19 	18325.656585	7544.895877	10780.760708																																																																																																																																																																																																																																																							
 20-24 	17800.525478	7745.677046	10054.848432																																																																																																																																																																																																																																																							
 25-29 	15623.469897	6626.976496	8996.493402																																																																																																																																																																																																																																																							
 30-34 	16848.092581	7006.226000	9841.866581																																																																																																																																																																																																																																																							
 35-39 	17556.014666	7655.055153	9900.959513																																																																																																																																																																																																																																																							
 40-44 	21109.302035	9961.134155	11148.167880																																																																																																																																																																																																																																																							
 45-49 	22435.429997	10812.576148	11622.853850																																																																																																																																																																																																																																																							
 50-54 	24093.555063	12565.292948	11528.262115																																																																																																																																																																																																																																																							
 55-59 	27168.233552	13840.345086	13327.888466																																																																																																																																																																																																																																																							
 60-64 	34233.789276	18482.632042	15751.157235																																																																																																																																																																																																																																																							
 65-69 	39517.637914	21839.031667	17678.606247																																																																																																																																																																																																																																																							
 70-74 	43581.978668	24109.395998	19472.582670																																																																																																																																																																																																																																																							
 75-79 	39071.760064	21116.907917	17954.852146																																																																																																																																																																																																																																																							
 80+ 	48761.846744	26296.907344	22464.939400																																																																																																																																																																																																																																																							
Total	1176283.816476	598950.557120	577333.259356																																																																																																																																																																																																																																																							
1977																																																																																																																																																																																																																																																										
 0-4	688632.084602	356568.309719	332063.774883																																																																																																																																																																																																																																																							
 5-9	53115.099078	23724.067164	29391.031914																																																																																																																																																																																																																																																							
 10-14 	20933.204074	9415.723176	11517.480898																																																																																																																																																																																																																																																							
 15-19 	18534.239264	7590.939579	10943.299685																																																																																																																																																																																																																																																							
 20-24 	18033.192866	7809.518783	10223.674084																																																																																																																																																																																																																																																							
 25-29 	15355.321773	6535.608720	8819.713053																																																																																																																																																																																																																																																							
 30-34 	16435.222126	6811.924970	9623.297156																																																																																																																																																																																																																																																							
 35-39 	17464.036383	7579.651547	9884.384836																																																																																																																																																																																																																																																							
 40-44 	21108.387942	9969.365740	11139.022202																																																																																																																																																																																																																																																							
 45-49 	22333.577437	10799.623865	11533.953573																																																																																																																																																																																																																																																							
 50-54 	23931.693190	12522.234819	11409.458371																																																																																																																																																																																																																																																							
 55-59 	27012.426484	13770.237579	13242.188905																																																																																																																																																																																																																																																							
 60-64 	34140.522016	18452.130174	15688.391842																																																																																																																																																																																																																																																							
 65-69 	39129.257776	21573.974335	17555.283441																																																																																																																																																																																																																																																							
 70-74 	43209.932651	24032.526431	19177.406220																																																																																																																																																																																																																																																							
 75-79 	38904.169289	21137.516512	17766.652777																																																																																																																																																																																																																																																							
 80+ 	49667.059023	26794.315749	22872.743273																																																																																																																																																																																																																																																							
Total	1147939.425975	585087.668862	562851.757113																																																																																																																																																																																																																																																							
1978																																																																																																																																																																																																																																																										
 0-4	678838.900949	351442.590763	327396.310185																																																																																																																																																																																																																																																							
