Bangladesh	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 80+ 	78684.154743	43417.985396	35266.169347																																																																																																																																																																																																																																																							
Total	1101476.062219	568127.856004	533348.206215																																																																																																																																																																																																																																																							
1987																																																																																																																																																																																																																																																										
 0-4	558520.710970	289003.473992	269517.236978																																																																																																																																																																																																																																																							
 5-9	47922.966221	22065.365465	25857.600756																																																																																																																																																																																																																																																							
 10-14 	20336.015772	9530.617421	10805.398351																																																																																																																																																																																																																																																							
 15-19 	19374.689771	8278.791075	11095.898696																																																																																																																																																																																																																																																							
 20-24 	22300.085690	9994.629230	12305.456460																																																																																																																																																																																																																																																							
 25-29 	19037.868113	8483.414926	10554.453187																																																																																																																																																																																																																																																							
 30-34 	16337.760675	7550.844610	8786.916065																																																																																																																																																																																																																																																							
 35-39 	15665.300885	7349.796851	8315.504034																																																																																																																																																																																																																																																							
 40-44 	21043.059338	9964.709779	11078.349560																																																																																																																																																																																																																																																							
 45-49 	24485.202981	12059.293742	12425.909240																																																																																																																																																																																																																																																							
 50-54 	26287.558235	14574.601345	11712.956890																																																																																																																																																																																																																																																							
 55-59 	29539.630987	15652.005115	13887.625873																																																																																																																																																																																																																																																							
 60-64 	39796.968277	21671.509947	18125.458329																																																																																																																																																																																																																																																							
 65-69 	45347.371548	24911.124700	20436.246848																																																																																																																																																																																																																																																							
 70-74 	53406.322593	29380.092494	24026.230099																																																																																																																																																																																																																																																							
 75-79 	50667.628770	28245.093784	22422.534986																																																																																																																																																																																																																																																							
 80+ 	81891.481466	45351.999484	36539.481982																																																																																																																																																																																																																																																							
Total	1091960.622294	564067.363960	527893.258334																																																																																																																																																																																																																																																							
1988																																																																																																																																																																																																																																																										
 0-4	540750.456705	279844.575592	260905.881113																																																																																																																																																																																																																																																							
 5-9	46789.032206	21619.009208	25170.022998																																																																																																																																																																																																																																																							
 10-14 	20264.448077	9559.955865	10704.492212																																																																																																																																																																																																																																																							
 15-19 	19270.687349	8266.107599	11004.579750																																																																																																																																																																																																																																																							
 20-24 	22310.282196	10036.264596	12274.017600																																																																																																																																																																																																																																																							
 25-29 	19449.875646	8682.003734	10767.871912																																																																																																																																																																																																																																																							
 30-34 	16938.088081	7826.042464	9112.045618																																																																																																																																																																																																																																																							
 35-39 	15674.011590	7461.162807	8212.848783																																																																																																																																																																																																																																																							
 40-44 	20789.149996	9934.638256	10854.511741																																																																																																																																																																																																																																																							
 45-49 	24800.404657	12188.742935	12611.661722																																																																																																																																																																																																																																																							
 50-54 	26917.199117	14966.433823	11950.765294																																																																																																																																																																																																																																																							
 55-59 	30174.375850	16087.859739	14086.516110																																																																																																																																																																																																																																																							
 60-64 	40711.603220	22210.765601	18500.837619																																																																																																																																																																																																																																																							
 65-69 	46432.368395	25486.221798	20946.146597																																																																																																																																																																																																																																																							
 70-74 	54829.035088	30137.599222	24691.435867																																																																																																																																																																																																																																																							
 75-79 	52003.364292	28869.397401	23133.966891																																																																																																																																																																																																																																																							
 80+ 	85090.409233	47252.882995	37837.526238																																																																																																																																																																																																																																																							
Total	1083194.791699	560429.663635	522765.128064																																																																																																																																																																																																																																																							
1989																																																																																																																																																																																																																																																										
 0-4	522931.938294	270643.295708	252288.642586																																																																																																																																																																																																																																																							
 5-9	45524.127659	21108.216099	24415.911561																																																																																																																																																																																																																																																							
 10-14 	20147.842342	9570.832232	10577.010111																																																																																																																																																																																																																																																							
 15-19 	19393.117603	8364.846696	11028.270907																																																																																																																																																																																																																																																							
 20-24 	21988.020903	9913.120694	12074.900209																																																																																																																																																																																																																																																							
 25-29 	19782.694272	8855.454367	10927.239905																																																																																																																																																																																																																																																							
 30-34 	17615.747757	8132.918377	9482.829380																																																																																																																																																																																																																																																							
 35-39 	15753.183383	7588.053825	8165.129558																																																																																																																																																																																																																																																							
 40-44 	20550.456341	9937.059618	10613.396723																																																																																																																																																																																																																																																							
 45-49 	24997.094209	12285.282210	12711.811999																																																																																																																																																																																																																																																							
 50-54 	27581.275071	15363.720397	12217.554674																																																																																																																																																																																																																																																							
 55-59 	30871.468059	16550.016748	14321.451311																																																																																																																																																																																																																																																							
 60-64 	41677.341210	22804.060122	18873.281088																																																																																																																																																																																																																																																							
 65-69 	47531.665611	26063.117967	21468.547644																																																																																																																																																																																																																																																							
 70-74 	56341.708315	30934.310182	25407.398134																																																																																																																																																																																																																																																							
 75-79 	53365.494643	29510.077894	23855.416750																																																																																																																																																																																																																																																							
 80+ 	88308.779835	49123.384196	39185.395639																																																																																																																																																																																																																																																							
Total	1074361.955508	556747.767331	517614.188177																																																																																																																																																																																																																																																							
1990																																																																																																																																																																																																																																																										
 0-4	504072.220768	260903.899910	243168.320858																																																																																																																																																																																																																																																							
 5-9	44145.832031	20539.757236	23606.074795																																																																																																																																																																																																																																																							
 10-14 	19988.118151	9562.994940	10425.123211																																																																																																																																																																																																																																																							
 15-19 	19324.705649	8380.688613	10944.017036																																																																																																																																																																																																																																																							
 20-24 	21797.917336	9842.877034	11955.040302																																																																																																																																																																																																																																																							
 25-29 	20083.060351	9025.247544	11057.812807																																																																																																																																																																																																																																																							
 30-34 	18297.921262	8448.018291	9849.902971																																																																																																																																																																																																																																																							
 35-39 	15945.619269	7745.426074	8200.193195																																																																																																																																																																																																																																																							
 40-44 	20354.226440	9977.609606	10376.616834																																																																																																																																																																																																																																																							
 45-49 	25058.027610	12347.970748	12710.056862																																																																																																																																																																																																																																																							
 50-54 	28272.034835	15760.767980	12511.266855																																																																																																																																																																																																																																																							
 55-59 	31641.520767	17044.982181	14596.538586																																																																																																																																																																																																																																																							
 60-64 	42709.471674	23455.754558	19253.717116																																																																																																																																																																																																																																																							
 65-69 	48634.569411	26642.419162	21992.150249																																																																																																																																																																																																																																																							
 70-74 	57959.145701	31777.023766	26182.121934																																																																																																																																																																																																																																																							
 75-79 	54739.859844	30167.580442	24572.279402																																																																																																																																																																																																																																																							
 80+ 	91559.498700	50962.580177	40596.918523																																																																																																																																																																																																																																																							
Total	1064583.749799	552585.598263	511998.151536																																																																																																																																																																																																																																																							
1991																																																																																																																																																																																																																																																										
 0-4	483458.516806	250207.646237	233250.870569																																																																																																																																																																																																																																																							
 5-9	42674.947379	19921.248860	22753.698519																																																																																																																																																																																																																																																							
 10-14 	19779.248680	9532.718788	10246.529892																																																																																																																																																																																																																																																							
 15-19 	19351.228436	8435.795514	10915.432922																																																																																																																																																																																																																																																							
 20-24 	21457.050245	9707.160619	11749.889627																																																																																																																																																																																																																																																							
 25-29 	20208.299828	9119.286924	11089.012905																																																																																																																																																																																																																																																							
 30-34 	18897.276485	8743.008270	10154.268216																																																																																																																																																																																																																																																							
 35-39 	16258.828571	7936.066286	8322.762285																																																																																																																																																																																																																																																							
 40-44 	20234.809795	10069.079295	10165.730501																																																																																																																																																																																																																																																							
 45-49 	24943.932973	12370.286768	12573.646206																																																																																																																																																																																																																																																							
 50-54 	28937.500771	16132.072334	12805.428438																																																																																																																																																																																																																																																							
 55-59 	32449.291106	17544.725568	14904.565538																																																																																																																																																																																																																																																							
 60-64 	43791.873100	24145.197671	19646.675429																																																																																																																																																																																																																																																							
 65-69 	49678.055309	27182.975663	22495.079645																																																																																																																																																																																																																																																							
 70-74 	59654.223749	32629.648722	27024.575027																																																																																																																																																																																																																																																							
 75-79 	56083.640605	30835.186387	25248.454218																																																																																																																																																																																																																																																							
 80+ 	94860.298580	52750.395695	42109.902885																																																																																																																																																																																																																																																							
Total	1052719.022419	547262.499599	505456.522820																																																																																																																																																																																																																																																							
1992																																																																																																																																																																																																																																																										
 0-4	461990.512490	239042.513462	222947.999027																																																																																																																																																																																																																																																							
 5-9	41143.670434	19269.174091	21874.496343																																																																																																																																																																																																																																																							
 10-14 	19529.650482	9483.558056	10046.092426																																																																																																																																																																																																																																																							
 15-19 	19297.710567	8464.726876	10832.983692																																																																																																																																																																																																																																																							
 20-24 	21101.526706	9557.990663	11543.536043																																																																																																																																																																																																																																																							
 25-29 	20323.463922	9213.604148	11109.859774																																																																																																																																																																																																																																																							
 30-34 	19384.562241	9004.560179	10380.002062																																																																																																																																																																																																																																																							
 35-39 	16712.712560	8173.024010	8539.688551																																																																																																																																																																																																																																																							
 40-44 	20184.482624	10195.566499	9988.916125																																																																																																																																																																																																																																																							
 45-49 	24738.717422	12384.788702	12353.928720																																																																																																																																																																																																																																																							
 50-54 	29566.791633	16479.856368	13086.935265																																																																																																																																																																																																																																																							
 55-59 	33311.571313	18063.204431	15248.366881																																																																																																																																																																																																																																																							
 60-64 	44942.475627	24870.781945	20071.693682																																																																																																																																																																																																																																																							
 65-69 	50713.805792	27730.466889	22983.338903																																																																																																																																																																																																																																																							
 70-74 	61421.034420	33503.747667	27917.286753																																																																																																																																																																																																																																																							
 75-79 	57427.535641	31514.383100	25913.152542																																																																																																																																																																																																																																																							
 80+ 	98176.821707	54503.422761	43673.398946																																																																																																																																																																																																																																																							
Total	1039967.045581	541455.369848	498511.675733																																																																																																																																																																																																																																																							
1993																																																																																																																																																																																																																																																										
 0-4	439412.184471	227345.945700	212066.238772																																																																																																																																																																																																																																																							
 5-9	39546.541797	18579.930301	20966.611496																																																																																																																																																																																																																																																							
 10-14 	19239.551227	9415.083896	9824.467330																																																																																																																																																																																																																																																							
 15-19 	19224.466586	8493.463167	10731.003419																																																																																																																																																																																																																																																							
 20-24 	20792.603674	9435.084654	11357.519020																																																																																																																																																																																																																																																							
 25-29 	20325.669278	9258.044201	11067.625076																																																																																																																																																																																																																																																							
 30-34 	19744.738873	9224.286532	10520.452341																																																																																																																																																																																																																																																							
 35-39 	17286.730236	8454.798230	8831.932006																																																																																																																																																																																																																																																							
 40-44 	20195.397331	10342.798230	9852.599101																																																																																																																																																																																																																																																							
 45-49 	24502.253721	12415.772664	12086.481058																																																																																																																																																																																																																																																							
 50-54 	30108.473827	16787.516478	13320.957348																																																																																																																																																																																																																																																							
 55-59 	34225.999705	18597.998668	15628.001036																																																																																																																																																																																																																																																							
 60-64 	46169.645318	25636.038855	20533.606463																																																																																																																																																																																																																																																							
 65-69 	51761.223423	28302.420938	23458.802485																																																																																																																																																																																																																																																							
 70-74 	63230.096746	34391.165081	28838.931666																																																																																																																																																																																																																																																							
 75-79 	58801.205662	32210.958109	26590.247553																																																																																																																																																																																																																																																							
 80+ 	101480.172321	56221.264119	45258.908202																																																																																																																																																																																																																																																							
Total	1026046.954194	535112.569823	490934.384372																																																																																																																																																																																																																																																							
1994																																																																																																																																																																																																																																																										
 0-4	416114.667869	215263.626444	200851.041424																																																																																																																																																																																																																																																							
 5-9	37889.287707	17859.611700	20029.676007																																																																																																																																																																																																																																																							
 10-14 	18906.484632	9326.201439	9580.283193																																																																																																																																																																																																																																																							
 15-19 	19126.332402	8519.658808	10606.673594																																																																																																																																																																																																																																																							
 20-24 	20741.366091	9451.273259	11290.092832																																																																																																																																																																																																																																																							
 25-29 	20007.525542	9142.332594	10865.192948																																																																																																																																																																																																																																																							
 30-34 	20014.390195	9415.165859	10599.224336																																																																																																																																																																																																																																																							
 35-39 	17930.943216	8767.376240	9163.566976																																																																																																																																																																																																																																																							
 40-44 	20280.124185	10507.185420	9772.938765																																																																																																																																																																																																																																																							
 45-49 	24289.836907	12483.167471	11806.669436																																																																																																																																																																																																																																																							
 50-54 	30528.515039	17049.530796	13478.984243																																																																																																																																																																																																																																																							
 55-59 	35182.813309	19141.549058	16041.264251																																																																																																																																																																																																																																																							
 60-64 	47489.615767	26452.910279	21036.705488																																																																																																																																																																																																																																																							
 65-69 	52844.670175	28915.605989	23929.064186																																																																																																																																																																																																																																																							
 70-74 	65058.317655	35287.987846	29770.329809																																																																																																																																																																																																																																																							
 75-79 	60235.371484	32933.976281	27301.395203																																																																																																																																																																																																																																																							
 80+ 	104760.922510	57907.772889	46853.149621																																																																																																																																																																																																																																																							
Total	1011401.184683	528424.932373	482976.252310																																																																																																																																																																																																																																																							
1995																																																																																																																																																																																																																																																										
