south_africa_test	Total	Male	Female
 5-9	21723.786443	10968.107470	10755.678973
 10-14 	13643.380684	6874.844596	6768.536088
 15-19 	21380.600274	10783.492763	10597.107512
 20-24 	23022.246053	11736.518345	11285.727707
 25-29 	19997.141066	10329.397439	9667.743627
 30-34 	16758.172556	8746.923088	8011.249468
 35-39 	15076.959649	7941.090184	7135.869465
 40-44 	13252.874056	7082.543408	6170.330648
 45-49 	10444.467478	5662.550039	4781.917439
 50-54 	7767.341185	4201.865708	3565.475477
 55-59 	6314.167679	3246.291614	3067.876065
 60-64 	5586.096694	2597.464590	2988.632104
 65-69 	5085.409646	2049.398848	3036.010798
 70-74 	4162.327703	1473.334700	2688.993003
 75-79 	2791.711782	859.119365	1932.592417
 80+ 	2509.079934	603.358000	1905.721934
Total	209531.485277	105274.717112	104256.768165
2028			
 0-4	19793.933872	10008.552691	9785.381181
 5-9	21466.297077	10841.073997	10625.223080
 10-14 	13477.504785	6793.424453	6684.080332
 15-19 	21207.542457	10699.510680	10508.031777
 20-24 	22815.895490	11634.762675	11181.132815
 25-29 	20191.591717	10427.157989	9764.433728
 30-34 	16695.921149	8705.885274	7990.035874
 35-39 	14966.884779	7867.137044	7099.747735
 40-44 	13335.290466	7100.870078	6234.420388
 45-49 	10781.536841	5827.904730	4953.632111
 50-54 	8004.781397	4337.175817	3667.605579
 55-59 	6334.059760	3293.093286	3040.966474
 60-64 	5518.007748	2608.715790	2909.291958
 65-69 	4966.652885	2033.779667	2932.873218
 70-74 	4156.703591	1478.388793	2678.314798
 75-79 	2844.742506	878.224152	1966.518354
 80+ 	2570.570208	616.131861	1954.438347
Total	209127.916727	105151.788977	103976.127750
2029			
 0-4	19608.378470	9916.882726	9691.495744
 5-9	21256.835317	10738.150071	10518.685246
 10-14 	13329.096985	6720.714414	6608.382571
 15-19 	21135.479145	10667.077734	10468.401411
 20-24 	22614.564609	11535.917276	11078.647333
 25-29 	20325.929493	10496.054873	9829.874620
 30-34 	16734.578968	8718.445344	8016.133623
 35-39 	14873.480147	7805.103161	7068.376986
 40-44 	13382.303515	7101.410189	6280.893327
 45-49 	11104.835363	5983.366402	5121.468961
 50-54 	8293.458527	4494.445131	3799.013396
 55-59 	6407.887835	3365.945541	3041.942294
 60-64 	5466.964106	2622.199156	2844.764950
 65-69 	4857.944675	2025.227510	2832.717166
 70-74 	4136.522463	1481.187652	2655.334811
 75-79 	2897.307454	897.420285	1999.887169
 80+ 	2638.953064	631.136865	2007.816199
Total	209064.520136	105200.684329	103863.835807
2030			
 0-4	19454.829967	9841.286850	9613.543117
