Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
 50-54 	0.060013	0.099128	0.021701
 55-59 	0.024838	0.047798	0.003241
 60-64 	0.002370	0.004946	0.000052
 65-69 	0.000648	0.001339	0.000055
 70-74 	0.000037	0.000081	0.000002
 75-79 	0.000617	0.001301	0.000106
 80+ 	0.000000	0.000000	0.000000
Total	0.125932	0.201489	0.053480
2044			
 0-4	0.034944	0.034914	0.034976
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.306715	0.404403	0.203799
 20-24 	0.318886	0.459870	0.169220
 25-29 	0.313834	0.472906	0.143909
 30-34 	0.314511	0.505206	0.109392
 35-39 	0.286229	0.457741	0.103312
 40-44 	0.227748	0.367308	0.083783
 45-49 	0.143867	0.232089	0.054481
 50-54 	0.059422	0.098054	0.021433
 55-59 	0.024751	0.047563	0.003219
 60-64 	0.002365	0.004926	0.000052
 65-69 	0.000644	0.001331	0.000055
 70-74 	0.000037	0.000081	0.000002
 75-79 	0.000614	0.001293	0.000106
 80+ 	0.000000	0.000000	0.000000
Total	0.124112	0.198726	0.052606
2045			
 0-4	0.033198	0.033170	0.033228
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.305591	0.402897	0.203155
 20-24 	0.317691	0.458407	0.168775
 25-29 	0.312609	0.471417	0.143474
 30-34 	0.313395	0.503606	0.109073
 35-39 	0.285472	0.456122	0.103004
 40-44 	0.227483	0.366331	0.083561
 45-49 	0.144069	0.232251	0.054541
 50-54 	0.058848	0.097026	0.021166
 55-59 	0.024689	0.047370	0.003198
 60-64 	0.002359	0.004901	0.000052
 65-69 	0.000641	0.001325	0.000054
 70-74 	0.000037	0.000080	0.000002
 75-79 	0.000610	0.001284	0.000105
 80+ 	0.000000	0.000000	0.000000
Total	0.122488	0.196261	0.051827
2046			
 0-4	0.031321	0.031295	0.031348
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.304985	0.402056	0.202814
 20-24 	0.316971	0.457641	0.168580
 25-29 	0.311883	0.470641	0.143258
 30-34 	0.312662	0.502766	0.108905
 35-39 	0.285029	0.455226	0.102845
 40-44 	0.227598	0.365804	0.083442
 45-49 	0.144223	0.232372	0.054587
 50-54 	0.058481	0.096350	0.020979
 55-59 	0.024655	0.047228	0.003175
 60-64 	0.002351	0.004877	0.000052
 65-69 	0.000640	0.001321	0.000054
 70-74 	0.000037	0.000079	0.000002
 75-79 	0.000608	0.001277	0.000105
 80+ 	0.000000	0.000000	0.000000
Total	0.121119	0.194194	0.051166
2047			
 0-4	0.029235	0.029211	0.029260
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.304946	0.401975	0.202812
 20-24 	0.316809	0.457676	0.168648
 25-29 	0.311708	0.470680	0.143281
 30-34 	0.312392	0.502798	0.108904
 35-39 	0.285051	0.455186	0.102851
 40-44 	0.228073	0.365795	0.083450
 45-49 	0.144483	0.232695	0.054670
 50-54 	0.058540	0.096354	0.020971
 55-59 	0.024639	0.047122	0.003147
 60-64 	0.002346	0.004856	0.000052
 65-69 	0.000641	0.001320	0.000054
 70-74 	0.000037	0.000079	0.000002
 75-79 	0.000609	0.001279	0.000105
 80+ 	0.000000	0.000000	0.000000
Total	0.120012	0.192541	0.050622
2048			
 0-4	0.027479	0.027457	0.027502
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.305273	0.402419	0.203012
 20-24 	0.317035	0.458241	0.168861
 25-29 	0.311870	0.471259	0.143441
 30-34 	0.312435	0.503415	0.108999
 35-39 	0.285398	0.455724	0.102957
 40-44 	0.228688	0.366099	0.083527
 45-49 	0.144944	0.233327	0.054800
 50-54 	0.058994	0.096980	0.021137
 55-59 	0.024599	0.046985	0.003102
 60-64 	0.002343	0.004841	0.000052
 65-69 	0.000643	0.001321	0.000054
 70-74 	0.000037	0.000080	0.000002
 75-79 	0.000612	0.001286	0.000106
 80+ 	0.000000	0.000000	0.000000
Total	0.119105	0.191187	0.050180
2049			
 0-4	0.025919	0.025899	0.025940
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.305738	0.403092	0.203254
 20-24 	0.317441	0.459025	0.169096
 25-29 	0.312139	0.472057	0.143632
 30-34 	0.312615	0.504274	0.109113
 35-39 	0.285814	0.456487	0.103083
 40-44 	0.229240	0.366493	0.083604
 45-49 	0.145510	0.234050	0.054917
 50-54 	0.059570	0.097802	0.021363
 55-59 	0.024510	0.046778	0.003038
 60-64 	0.002344	0.004834	0.000052
 65-69 	0.000645	0.001324	0.000054
 70-74 	0.000037	0.000080	0.000002
 75-79 	0.000614	0.001290	0.000106
 80+ 	0.000000	0.000000	0.000000
Total	0.118296	0.189974	0.049793
2050			
 0-4	0.024144	0.024126	0.024163
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.306318	0.403965	0.203523
 20-24 	0.318024	0.460024	0.169354
 25-29 	0.312507	0.473072	0.143848
 30-34 	0.312950	0.505370	0.109246
 35-39 	0.286259	0.457439	0.103221
 40-44 	0.229741	0.367034	0.083679
 45-49 	0.146156	0.234798	0.055013
 50-54 	0.060082	0.098543	0.021560
 55-59 	0.024402	0.046545	0.002969
 60-64 	0.002344	0.004824	0.000052
 65-69 	0.000649	0.001328	0.000054
 70-74 	0.000038	0.000081	0.000002
 75-79 	0.000614	0.001289	0.000106
 80+ 	0.000000	0.000000	0.000000
Total	0.117562	0.188882	0.049440
