Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
 60-64 	0.000029	0.000063	0.000001
 65-69 	0.000008	0.000017	0.000001
 70-74 	0.000000	0.000001	0.000000
 75-79 	0.000007	0.000017	0.000001
 80+ 	0.000000	0.000000	0.000000
Total	0.001751	0.002691	0.000844
1985			
 0-4	0.000392	0.000393	0.000391
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.004933	0.007058	0.002768
 20-24 	0.005212	0.008072	0.002318
 25-29 	0.005134	0.008290	0.001972
 30-34 	0.005170	0.008870	0.001500
 35-39 	0.004610	0.008075	0.001412
 40-44 	0.003663	0.006452	0.001144
 45-49 	0.002322	0.004094	0.000747
 50-54 	0.000972	0.001743	0.000298
 55-59 	0.000410	0.000839	0.000045
 60-64 	0.000039	0.000086	0.000001
 65-69 	0.000011	0.000023	0.000001
 70-74 	0.000001	0.000001	0.000000
 75-79 	0.000010	0.000024	0.000001
 80+ 	0.000000	0.000000	0.000000
Total	0.002339	0.003747	0.000978
1986			
 0-4	0.000585	0.000587	0.000583
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.006975	0.009711	0.004188
 20-24 	0.007328	0.011106	0.003507
 25-29 	0.007198	0.011407	0.002982
 30-34 	0.007220	0.012203	0.002268
 35-39 	0.006480	0.011125	0.002138
 40-44 	0.005120	0.008881	0.001731
 45-49 	0.003254	0.005643	0.001132
 50-54 	0.001349	0.002382	0.000446
 55-59 	0.000570	0.001160	0.000069
 60-64 	0.000053	0.000117	0.000001
 65-69 	0.000014	0.000032	0.000001
 70-74 	0.000001	0.000002	0.000000
 75-79 	0.000014	0.000033	0.000002
 80+ 	0.000000	0.000000	0.000000
Total	0.003319	0.005214	0.001485
1987			
 0-4	0.000886	0.000889	0.000883
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.010068	0.013548	0.006524
 20-24 	0.010515	0.015504	0.005465
 25-29 	0.010292	0.015926	0.004647
 30-34 	0.010261	0.017034	0.003534
 35-39 	0.009278	0.015538	0.003333
 40-44 	0.007292	0.012405	0.002701
 45-49 	0.004648	0.007892	0.001767
 50-54 	0.001913	0.003313	0.000692
 55-59 	0.000804	0.001622	0.000108
 60-64 	0.000074	0.000162	0.000002
 65-69 	0.000020	0.000044	0.000002
 70-74 	0.000001	0.000003	0.000000
 75-79 	0.000020	0.000046	0.000004
 80+ 	0.000000	0.000000	0.000000
Total	0.004800	0.007362	0.002321
1988			
 0-4	0.001379	0.001384	0.001374
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.014896	0.019135	0.010578
 20-24 	0.015428	0.021912	0.008864
 25-29 	0.015032	0.022510	0.007536
 30-34 	0.014863	0.024074	0.005731
 35-39 	0.013523	0.021949	0.005407
 40-44 	0.010613	0.017557	0.004385
 45-49 	0.006773	0.011169	0.002869
 50-54 	0.002778	0.004680	0.001122
 55-59 	0.001146	0.002290	0.000173
 60-64 	0.000105	0.000230	0.000003
 65-69 	0.000029	0.000063	0.000003
 70-74 	0.000002	0.000004	0.000000
 75-79 	0.000028	0.000066	0.000006
 80+ 	0.000000	0.000000	0.000000
Total	0.007091	0.010520	0.003771
1989			
 0-4	0.002087	0.002095	0.002079
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.021279	0.026772	0.015685
 20-24 	0.021951	0.030654	0.013136
 25-29 	0.021346	0.031492	0.011168
 30-34 	0.021019	0.033679	0.008491
 35-39 	0.019191	0.030679	0.008012
 40-44 	0.015095	0.024631	0.006513
 45-49 	0.009610	0.015639	0.004257
 50-54 	0.003940	0.006558	0.001666
 55-59 	0.001601	0.003188	0.000252
 60-64 	0.000149	0.000328	0.000004
 65-69 	0.000041	0.000088	0.000004
 70-74 	0.000002	0.000006	0.000000
 75-79 	0.000039	0.000091	0.000009
 80+ 	0.000000	0.000000	0.000000
Total	0.010167	0.014868	0.005613
1990			
 0-4	0.003204	0.003218	0.003189
