Workshop_1_Demo		Total	Male	Female
1970		
 25-29 	3406737.500000	1693198.250000	1713539.000000
 30-34 	2925774.250000	1451910.250000	1473864.000000
 35-39 	2575109.000000	1266748.250000	1308360.875000
 40-44 	2171249.750000	1061001.750000	1110248.000000
 45-49 	1742757.250000	845627.750000	897129.562500
 50-54 	1454535.875000	695488.875000	759047.000000
 55-59 	1148644.500000	539632.875000	609011.562500
 60-64 	874425.625000	406102.625000	468322.968750
 65-69 	607711.687500	271951.093750	335760.625000
 70-74 	391669.562500	156769.937500	234899.640625
 75-79 	231322.531250	81839.984375	149482.546875
 80+ 	161595.625000	46454.726563	115140.906250
Total	40177000.000000	19781622.000000	20395378.000000
1995			
 0-4	4883077.000000	2461094.250000	2421983.000000
 5-9	4838759.000000	2430379.000000	2408380.000000
 10-14 	4687376.000000	2348776.000000	2338600.000000
 15-19 	4322568.000000	2159362.750000	2163205.500000
 20-24 	3942740.500000	1968897.625000	1973842.750000
 25-29 	3480366.500000	1736332.250000	1744034.250000
 30-34 	2980210.500000	1486002.375000	1494207.875000
 35-39 	2639450.000000	1294878.125000	1344571.875000
 40-44 	2271748.250000	1099408.875000	1172339.250000
 45-49 	1830445.250000	876740.625000	953704.625000
 50-54 	1525586.000000	721126.500000	804459.375000
 55-59 	1204005.250000	559329.875000	644675.375000
 60-64 	911453.875000	418686.937500	492766.906250
 65-69 	630182.562500	281594.000000	348588.562500
 70-74 	400598.656250	161562.000000	239036.656250
 75-79 	235533.078125	83900.812500	151632.250000
 80+ 	162788.484375	47618.894531	115169.585938
Total	40946888.000000	20135690.000000	20811198.000000
1996			
 0-4	4858240.500000	2448353.500000	2409887.000000
 5-9	4817812.500000	2418639.000000	2399173.500000
 10-14 	4735553.000000	2372500.500000	2363052.750000
 15-19 	4400838.000000	2199393.250000	2201444.750000
 20-24 	4011946.500000	2011088.750000	2000857.500000
 25-29 	3537085.000000	1780124.000000	1756961.000000
 30-34 	3024110.500000	1519433.250000	1504677.375000
 35-39 	2690285.250000	1317978.625000	1372306.500000
 40-44 	2366610.500000	1133414.625000	1233195.875000
 45-49 	1931137.625000	910836.125000	1020301.500000
 50-54 	1599818.250000	745380.750000	854437.500000
 55-59 	1265886.625000	580458.625000	685428.000000
 60-64 	949893.125000	430752.718750	519140.375000
 65-69 	652898.687500	289929.906250	362968.781250
 70-74 	409355.625000	166308.953125	243046.640625
 75-79 	237624.437500	85308.109375	152316.328125
 80+ 	162579.531250	48585.808594	113993.726563
Total	41651676.000000	20458486.000000	21193190.000000
1997			
 0-4	4827267.500000	2432595.750000	2394671.500000
 5-9	4790247.500000	2403652.750000	2386594.750000
 10-14 	4771798.000000	2389818.500000	2381979.750000
 15-19 	4479315.000000	2239400.000000	2239915.000000
 20-24 	4075882.750000	2050212.500000	2025670.250000
 25-29 	3588175.000000	1822845.500000	1765329.625000
 30-34 	3065533.500000	1554793.000000	1510740.500000
 35-39 	2728119.500000	1337606.000000	1390513.500000
 40-44 	2451527.000000	1162715.625000	1288811.375000
 45-49 	2040148.875000	947720.812500	1092428.125000
 50-54 	1672909.750000	767632.125000	905277.625000
 55-59 	1332939.750000	603046.500000	729893.250000
 60-64 	989732.375000	442543.125000	547189.250000
 65-69 	677428.812500	297848.687500	379580.125000
 70-74 	419249.812500	171515.187500	247734.609375
 75-79 	238780.406250	86345.906250	152434.500000
 80+ 	162230.921875	49573.339844	112657.578125
Total	42311288.000000	20759866.000000	21551422.000000
1998			
 0-4	4798938.000000	2418242.000000	2380696.000000
 5-9	4763119.000000	2389378.000000	2373741.000000
 10-14 	4795822.000000	2400699.750000	2395122.500000
 15-19 	4556261.500000	2278291.250000	2277970.250000
 20-24 	4144664.250000	2088714.250000	2055950.000000
 25-29 	3641741.750000	1863665.250000	1778076.500000
 30-34 	3116051.500000	1594471.750000	1521579.625000
 35-39 	2758315.000000	1357017.000000	1401298.000000
 40-44 	2521999.250000	1187533.750000	1334465.500000
 45-49 	2146654.250000	984900.750000	1161753.500000
 50-54 	1742027.500000	788421.562500	953605.937500
 55-59 	1400695.500000	626062.375000	774633.125000
 60-64 	1031279.437500	454839.156250	576440.312500
 65-69 	705428.687500	306463.562500	398965.093750
 70-74 	432951.031250	177851.187500	255099.843750
 75-79 	242948.703125	88343.937500	154604.765625
 80+ 	163564.687500	50921.414063	112643.273438
Total	42962464.000000	21055818.000000	21906644.000000
1999			
 0-4	4783996.500000	2410707.750000	2373288.750000
 5-9	4739878.000000	2377717.000000	2362161.000000
 10-14 	4806980.500000	2405039.000000	2401941.500000
 15-19 	4630937.000000	2315602.250000	2315334.750000
 20-24 	4224637.000000	2128518.250000	2096118.750000
 25-29 	3704991.500000	1903315.500000	1801675.875000
 30-34 	3179507.000000	1636720.875000	1542786.000000
 35-39 	2787727.500000	1379087.250000	1408640.250000
 40-44 	2575775.000000	1208479.500000	1367295.500000
 45-49 	2239069.500000	1018716.625000	1220352.875000
 50-54 	1806904.250000	808955.750000	997948.437500
 55-59 	1463755.250000	647820.500000	815934.750000
 60-64 	1074653.375000	468275.218750	606378.250000
 65-69 	737412.125000	316380.312500	421031.812500
 70-74 	452543.312500	185614.359375	266928.937500
 75-79 	253729.375000	92328.015625	161401.343750
 80+ 	168292.734375	52986.757813	115305.976563
Total	43630788.000000	21356264.000000	22274524.000000
2000			
 0-4	4793217.000000	2415839.750000	2377377.000000
 5-9	4721405.500000	2369329.750000	2352075.750000
 10-14 	4808042.500000	2404507.500000	2403535.000000
 15-19 	4704771.500000	2352732.250000	2352039.500000
 20-24 	4319945.500000	2173320.250000	2146625.500000
 25-29 	3789909.500000	1948090.000000	1841819.500000
 30-34 	3247445.500000	1674128.375000	1573317.250000
