Vietnam	Total	Male	Female																																																																																																																																																																																																																																																							
1970																																																																																																																																																																																																																																																										
 30-34 	11602.638262	8871.534395	2731.103867
 35-39 	16408.920436	12280.979837	4127.940598
 40-44 	19306.534252	14285.310005	5021.224247
 45-49 	23097.402773	16976.958659	6120.444114
 50-54 	31083.651414	22399.549950	8684.101464
 55-59 	41812.757601	28944.516967	12868.240634
 60-64 	53208.781206	35081.171520	18127.609687
 65-69 	69894.215233	43824.896561	26069.318671
 70-74 	75102.920347	43879.985042	31222.935305
 75-79 	61277.565406	31834.337806	29443.227600
 80+ 	199845.937892	71573.141853	128272.796039
Total	644000.966575	355641.909005	288359.057570
2027			
 0-4	17945.428678	8427.792016	9517.636663
 5-9	2453.572180	1469.936470	983.635710
 10-14 	2232.956242	1439.123660	793.832582
 15-19 	3871.335522	2876.086491	995.249031
 20-24 	5997.982099	4648.624292	1349.357806
 25-29 	8011.660016	6165.572653	1846.087363
 30-34 	10960.399736	8368.418218	2591.981518
 35-39 	16263.824059	12165.576095	4098.247964
 40-44 	19521.269311	14430.483976	5090.785335
 45-49 	23345.925884	17123.605403	6222.320481
 50-54 	31045.441589	22306.609730	8738.831859
 55-59 	41713.292058	28796.952020	12916.340037
 60-64 	53445.770171	35192.375372	18253.394799
 65-69 	71291.770570	44729.414549	26562.356021
 70-74 	79361.645954	46426.864493	32934.781461
 75-79 	67376.702075	35358.706245	32017.995830
 80+ 	202836.974426	72779.832014	130057.142412
Total	657675.950569	362705.973698	294969.976871
2028			
 0-4	17450.227045	8136.805347	9313.421698
 5-9	2367.159765	1406.275377	960.884388
 10-14 	2160.755433	1386.206645	774.548788
 15-19 	3790.991378	2810.188292	980.803086
 20-24 	5973.615911	4626.534473	1347.081439
 25-29 	7940.257723	6098.978427	1841.279295
 30-34 	10360.537328	7895.535765	2465.001562
 35-39 	15906.491254	11888.789350	4017.701903
 40-44 	19691.642050	14541.021645	5150.620406
 45-49 	23613.473488	17289.005175	6324.468313
 50-54 	31004.434214	22220.126062	8784.308153
