Workshop_1_Demo	Total	Male	Female
 75-79 	150617.965953	51269.146258	99348.819694
 80+ 	109030.708703	32012.925508	77017.783195
Total	29690512.179473	14756361.120271	14934151.059202
1982			
 0-4	4587889.682226	2309751.880013	2278137.802213
 5-9	4126340.028170	2067904.113019	2058435.915151
 10-14 	3708441.420567	1852000.259881	1856441.160685
 15-19 	3215134.865809	1617016.271488	1598118.594321
 20-24 	2796000.756069	1407868.540818	1388132.215251
 25-29 	2432956.570753	1226015.972227	1206940.598525
 30-34 	2007232.623028	1015545.829713	991686.793315
 35-39 	1667085.339125	839165.700708	827919.638417
 40-44 	1419339.602598	705269.029971	714070.572627
 45-49 	1187127.043768	588786.103533	598340.940235
 50-54 	977494.566873	488094.013438	489400.553435
 55-59 	765755.873939	371457.494522	394298.379417
 60-64 	592601.751931	270086.701561	322515.050370
 65-69 	425660.232424	183080.919053	242579.313370
 70-74 	273704.385301	106316.866525	167387.518775
 75-79 	156318.327197	53036.616549	103281.710649
 80+ 	110876.695762	32268.813964	78607.881798
Total	30449959.765538	15133665.126983	15316294.638555
1983			
 0-4	4659810.228276	2346444.747704	2313365.480572
 5-9	4202606.216984	2106537.086993	2096069.129990
 10-14 	3793931.562132	1894663.877530	1899267.684602
 15-19 	3312724.685864	1662842.132813	1649882.553051
 20-24 	2864608.384966	1442993.958064	1421614.426902
 25-29 	2509546.631416	1264184.432328	1245362.199088
 30-34 	2092058.132860	1058634.066553	1033424.066307
 35-39 	1716445.047552	865953.522276	850491.525276
 40-44 	1463430.211947	728373.813122	735056.398824
 45-49 	1218098.031514	602390.662654	615707.368860
 50-54 	1006052.414334	500442.114141	505610.300193
 55-59 	788311.006445	384448.348141	403862.658304
 60-64 	603736.773771	275780.279318	327956.494453
 65-69 	438530.994804	188328.793067	250202.201737
 70-74 	279628.976664	109191.421100	170437.555563
 75-79 	161956.883081	54870.565785	107086.317296
 80+ 	113289.143957	32699.518967	80589.624990
Total	31224765.326563	15518779.340556	15705985.986008
1984			
 0-4	4726469.938500	2380431.545155	2346038.393344
 5-9	4279252.215810	2145545.526816	2133706.688994
 10-14 	3882452.160812	1941186.272526	1941265.888286
 15-19 	3405087.845109	1703669.634171	1701418.210938
 20-24 	2936651.478617	1479383.884040	1457267.594577
 25-29 	2581633.501500	1299928.724750	1281704.776750
 30-34 	2177222.054072	1101224.430428	1075997.623645
 35-39 	1772189.518483	895448.794217	876740.724266
 40-44 	1506775.234074	751347.298607	755427.935467
 45-49 	1251091.476730	617335.203840	633756.272890
 50-54 	1034180.099632	512089.716006	522090.383626
 55-59 	812289.453333	397433.803566	414855.649767
 60-64 	616355.532240	282657.521574	333698.010666
 65-69 	450778.119942	193233.143530	257544.976412
 70-74 	286778.823388	112441.024104	174337.799284
 75-79 	167255.796275	56695.254567	110560.541708
 80+ 	116338.070105	33316.792644	83021.277461
Total	32002801.318621	15903368.570541	16099432.748080
1985			
 0-4	4785650.678627	2410614.048661	2375036.629966
 5-9	4356970.892573	2185221.995671	2171748.896902
 10-14 	3959204.118806	1977335.419741	1981868.699065
 15-19 	3502103.553503	1751274.579110	1750828.974393
 20-24 	3013819.960088	1517593.235178	1496226.724909
 25-29 	2647676.089452	1332058.467276	1315617.622176
 30-34 	2260095.785438	1141573.005385	1118522.780053
 35-39 	1833874.115205	927036.672822	906837.442383
 40-44 	1548113.291495	773181.644669	774931.646827
 45-49 	1285572.677304	633197.951033	652374.726271
 50-54 	1061060.962296	522590.788343	538470.173953
 55-59 	837110.590525	409900.959129	427209.631396
 60-64 	630498.511572	290654.230375	339844.281197
 65-69 	462230.570923	197767.961962	264462.608961
 70-74 	295203.454905	116026.343671	179177.111234
 75-79 	172169.190974	58493.333060	113675.857915
 80+ 	119984.643450	34102.854350	85881.789101
Total	32771339.087136	16278623.490436	16492715.596700
1986			
 0-4	4834064.337171	2435079.461951	2398984.875219
 5-9	4433139.592415	2223900.565641	2209239.026774
 10-14 	4034328.292678	2017828.154077	2016500.138601
 15-19 	3593064.634546	1792167.577214	1800897.057331
 20-24 	3094219.796409	1554978.553969	1539241.242440
 25-29 	2706829.442228	1360412.597808	1346416.844420
 30-34 	2335297.395355	1177294.823984	1158002.571371
 35-39 	1902973.181134	961457.431631	941515.749503
 40-44 	1585245.562460	792467.828297	792777.734164
 45-49 	1321678.275165	649950.145612	671728.129552
 50-54 	1085463.427008	531470.642381	553992.784627
 55-59 	861610.294554	420769.316367	440840.978187
 60-64 	646898.656657	300058.496266	346840.160391
 65-69 	471966.904507	201652.174120	270314.730386
 70-74 	305339.379711	119981.276744	185358.102967
 75-79 	176301.955414	60164.606831	116137.348583
 80+ 	124245.872348	35050.212024	89195.660324
Total	33512666.999759	16634683.864917	16877983.134842
1987			
 0-4	4872355.602802	2454584.286075	2417771.316727
 5-9	4507434.258242	2261667.782268	2245766.475975
 10-14 	4108654.848440	2055146.538659	2053508.309781
 15-19 	3676831.382310	1832268.481410	1844562.900900
 20-24 	3179969.041263	1594013.239798	1585955.801465
 25-29 	2762889.117167	1385865.962127	1377023.155040
 30-34 	2404209.767663	1208352.765034	1195857.002629
 35-39 	1975533.016924	996168.124885	979364.892039
 40-44 	1622364.369280	810989.332991	811375.036289
 45-49 	1357996.562266	666827.816714	691168.745551
 50-54 	1108823.665844	539671.994607	569151.671237
 55-59 	885487.012513	430333.651492	455153.361021
 60-64 	664775.651732	309971.420241	354804.231491
 65-69 	481456.810459	205659.483561	275797.326897
 70-74 	316192.244932	124072.780509	192119.464423
 75-79 	180494.371521	61915.533553	118578.837969
 80+ 	128844.128385	36112.458791	92731.669594
Total	34234311.851743	16973621.652714	17260690.199029
1988			
 0-4	4897992.773607	2467851.070020	2430141.703587
 5-9	4579037.063713	2298082.326325	2280954.737388
 10-14 	4180748.629937	2091548.841833	2089199.788103
 15-19 	3757986.859512	1872241.863786	1885744.995726
 20-24 	3269953.067220	1633924.677899	1636028.389321
 25-29 	2819820.196786	1411288.651549	1408531.545237
 30-34 	2468638.775512	1236566.591403	1232072.184109
 35-39 	2050218.142863	1031086.672704	1019131.470160
 40-44 	1663480.573868	831045.612288	832434.961581
 45-49 	1394204.200091	683863.668862	710340.531229
 50-54 	1133157.181501	548498.701789	584658.479712
 55-59 	908996.208469	439074.076107	469922.132362
 60-64 	683950.299696	320089.492803	363860.806892
 65-69 	491487.228316	210245.108100	281242.120216
 70-74 	326981.493419	128028.011407	198953.482012
 75-79 	185277.388572	63862.862990	121414.525582
 80+ 	133541.069250	37246.323495	96294.745755
Total	34945471.152331	17304544.553359	17640926.598971
1989			
 0-4	4909863.490656	2474195.507485	2435667.983171
 5-9	4645511.199005	2331940.625783	2313570.573222
 10-14 	4253949.425628	2128619.145788	2125330.279840
 15-19 	3844072.783575	1917042.792970	1927029.990605
 20-24 	3358847.713084	1671803.887801	1687043.825283
 25-29 	2884722.715479	1441672.595516	1443050.119962
 30-34 	2532033.470930	1265196.707108	1266836.763822
 35-39 	2127753.959124	1067631.376424	1060122.582700
 40-44 	1713638.602158	855727.112563	857911.489595
 45-49 	1432968.725244	702877.690026	730091.035218
 50-54 	1162557.481267	560645.507743	601911.973524
 55-59 	934294.124389	448740.944230	485553.180159
 60-64 	705289.518375	330929.873214	374359.645161
 65-69 	502892.438706	215925.520366	286966.918340
 70-74 	337336.634604	131778.925886	205557.708718
 75-79 	190960.048391	66073.198404	124886.849987
 80+ 	138246.242845	38445.441902	99800.800943
Total	35674938.573461	17649246.853210	18025691.720251
1990			
 0-4	4909041.377674	2474132.494824	2434908.882850
 5-9	4704360.601414	2361940.185690	2342420.415724
 10-14 	4329841.782028	2167161.226717	2162680.555311
 15-19 	3921144.767030	1953336.139503	1967808.627527
 20-24 	3458195.970181	1720832.168398	1737363.801783
 25-29 	2962764.350336	1480029.125689	1482735.224647
 30-34 	2596348.512217	1295531.334549	1300817.177668
 35-39 	2208357.300966	1106115.416595	1102241.884371
 40-44 	1774239.720980	886286.811575	887952.909405
 45-49 	1474209.233378	724339.896123	749869.337255
 50-54 	1197166.497896	576500.235546	620666.262350
 55-59 	960787.575954	459097.397787	501690.178167
 60-64 	728520.132264	342131.709615	386388.422649
 65-69 	516011.019301	222841.596186	293169.423114
 70-74 	347310.399673	135451.125985	211859.273688
 75-79 	197591.425293	68556.809652	129034.615641
 80+ 	142985.319358	39722.307766	103263.011592
Total	36428875.985944	18014005.982202	18414870.003742
1991			
 0-4	4905990.941995	2472824.682213	2433166.259782
 5-9	4755440.916164	2388137.676860	2367303.239303
 10-14 	4408244.973888	2207161.003187	2201083.970701
 15-19 	4003031.456390	1996686.474760	2006344.981630
 20-24 	3565180.513373	1768821.826649	1796358.686723
 25-29 	3063837.112268	1526407.060030	1537430.052238
 30-34 	2673864.368600	1331081.165310	1342783.203290
 35-39 	2297848.426596	1146859.768847	1150988.657750
 40-44 	1854235.349823	925009.009460	929226.340363
 45-49 	1522070.171736	749266.671928	772803.499808
 50-54 	1244289.467321	599885.565901	644403.901420
 55-59 	994706.347347	474031.670665	520674.676682
 60-64 	758231.419103	356178.658934	402052.760169
 65-69 	534784.274075	233277.849391	301506.424684
 70-74 	357878.021429	139941.579161	217936.442268
 75-79 	206014.200850	71716.667840	134297.533010
 80+ 	147836.567896	41204.039184	106632.528712
Total	37293484.528854	18428491.370319	18864993.158535
1992			
 0-4	4906474.433896	2473302.602132	2433171.831764
 5-9	4793957.659386	2407936.849875	2386020.809512
 10-14 	4486096.216467	2246904.827785	2239191.388681
 15-19 	4088212.488809	2038704.372451	2049508.116358
 20-24 	3673628.304875	1820360.700640	1853267.604236
 25-29 	3182508.340390	1581461.364594	1601046.975796
 30-34 	2760996.960803	1371471.479110	1389525.481694
 35-39 	2391644.877770	1189227.789062	1202417.088708
 40-44 	1946845.134929	968879.949412	977965.185517
 45-49 	1578158.953495	777695.569205	800463.384291
 50-54 	1299569.265287	627708.687329	671860.577958
 55-59 	1034436.811424	492156.567752	542280.243672
 60-64 	791806.711092	371665.203247	420141.507845
 65-69 	556955.004007	245472.345825	311482.658182
 70-74 	369231.763938	145169.599986	224062.163951
 75-79 	215221.816207	75182.080251	140039.735956
 80+ 	152988.551722	42860.633533	110127.918189
Total	38228733.294496	18876160.622186	19352572.672310
1993			
 0-4	4914059.939370	2477377.633938	2436682.305432
 5-9	4818818.164642	2420797.447966	2398020.716676
 10-14 	4561685.950798	2285487.416266	2276198.534532
 15-19 	4174188.016298	2080973.885822	2093214.130476
 20-24 	3784992.571786	1874284.750025	1910707.821761
 25-29 	3312379.864711	1641078.200455	1671301.664257
 30-34 	2856277.859651	1416060.894311	1440216.965341
 35-39 	2487445.190059	1232308.152002	1255137.038057
 40-44 	2048525.974631	1015560.994035	1032964.980595
 45-49 	1644220.962457	809315.105727	834905.856730
 50-54 	1360261.524619	657508.288301	702753.236318
 55-59 	1079874.578723	512698.469191	567176.109532
 60-64 	828157.959985	387796.612877	440361.347109
 65-69 	581619.729556	258574.766039	323044.963517
 70-74 	381581.135393	151190.106512	230391.028881
 75-79 	224580.421850	78711.191873	145869.229976
 80+ 	158568.438077	44690.763496	113877.674581
Total	39217238.282606	19344414.678835	19872823.603772
1994			
 0-4	4921847.473899	2481622.015688	2440225.458211
 5-9	4831852.507531	2427623.153009	2404229.354522
 10-14 	4631389.140816	2321006.748023	2310382.392793
 15-19 	4262496.691663	2124171.398933	2138325.292730
 20-24 	3900748.743259	1933428.713140	1967320.030119
 25-29 	3435289.104216	1697519.201030	1737769.903186
 30-34 	2952819.038393	1463215.829574	1489603.208819
 35-39 	2579711.118444	1273660.130777	1306050.987667
 40-44 	2156238.905074	1062400.835150	1093838.069925
 45-49 	1723485.569691	843789.446220	879696.123471
 50-54 	1426511.428666	687481.967596	739029.461070
 55-59 	1131916.147053	534975.800397	596940.346656
 60-64 	866451.944115	403629.882459	462822.061655
 65-69 	607439.197809	271426.331138	336012.866671
 70-74 	394155.416441	157568.805361	236586.611081
 75-79 	233042.638612	81929.248894	151113.389719
 80+ 	163930.752188	46539.217294	117391.534894
Total	40219325.817871	19811988.724681	20407337.093189
1995			
 0-4	4923452.035505	2482897.077772	2440554.957733
 5-9	4832796.247041	2428225.880023	2404570.367018
 10-14 	4692250.122587	2351865.347174	2340384.775413
 15-19 	4353276.894743	2168504.443730	2184772.451012
 20-24 	4003232.944441	1983419.026895	2019813.917546
 25-29 	3552392.472001	1760506.242472	1791886.229529
 30-34 	3043248.232805	1511579.494249	1531668.738556
 35-39 	2662739.074719	1310851.071813	1351888.002906
 40-44 	2267557.553462	1107377.067765	1160180.485697
 45-49 	1818708.312396	881017.071738	937691.240658
 50-54 	1500258.783861	716977.592298	783281.191563
 55-59 	1192118.663798	558757.969100	633360.694698
 60-64 	906816.721279	418719.130278	488097.591001
 65-69 	633716.881872	283268.638221	350448.243651
 70-74 	406168.700792	163768.771119	242399.929673
 75-79 	239786.914423	84592.837517	155194.076907
 80+ 	168080.176392	48234.946391	119845.230001
Total	41196600.732116	20260562.608555	20936038.123561
1996			
 0-4	4908495.002127	2475262.066499	2433232.935628
 5-9	4820024.134430	2421109.057289	2398915.077141
