Bolivia	1970	162.65	154.96	148.09	141.99	136.59	131.81	127.58	123.83	120.51	117.52	114.8	112.26	109.9	107.65	105.43	103.33	101.51	98.72	94.4	89.18	84.13	78.89	74.78	72.51	71.4	70.15	69.13	67.41	64.45	60.76	57.39	54.07	51.37	49.67	48.63	47.53	46.47	45.52	44.61	43.73	42.93	42.26	41.26	39.73	37.88	36.11	34.36	32.77	31.44	30.32	29.17	28.01	27.08	26.46	26.05	25.64	25.28	24.75	23.9	22.84	21.83	20.81	19.8	18.83	17.89	16.92	15.94	14.97	14.01	13.05	12.11	11.19	10.27	9.38	8.51	7.66	6.84	6.05	5.28	4.55	16.34
Bosnia_and_Herzegovina	1970	76.68	81.71	85.53	88.24	89.99	90.88	91.04	90.6	89.68	88.4	86.66	84.39	82.76	82.35	82.62	82.48	82.13	81.34	79.85	77.81	75.92	74.45	71.49	66.31	59.96	53.88	47.32	43.94	45.58	50.35	54.68	59.4	62.37	62.21	60.02	58.24	56.34	54.62	53.45	52.53	51.25	49.84	47.78	44.78	41.18	37.7	34.33	30.98	27.75	24.73	21.81	18.84	17.15	17.33	18.74	20.11	21.65	22.86	23.33	23.29	23.41	23.61	23.32	22.36	20.95	19.48	17.88	16.43	15.3	14.36	13.34	12.33	11.19	9.81	8.32	6.9	5.49	4.38	3.7	3.33	16.13
Botswana	1970	28.52	27.16	25.94	24.85	23.88	23.01	22.24	21.54	20.9	20.32	19.76	19.23	18.71	18.21	17.71	17.22	16.8	16.12	15.04	13.72	12.46	11.17	10.2	9.74	9.62	9.46	9.35	9.2	8.95	8.65	8.4	8.18	7.94	7.67	7.36	7.07	6.8	6.51	6.18	5.83	5.49	5.13	4.89	4.84	4.89	4.93	5	4.95	4.71	4.36	4.03	3.71	3.41	3.17	2.97	2.77	2.57	2.41	2.3	2.24	2.18	2.12	2.08	2.05	2.02	2	1.99	1.94	1.79	1.61	1.43	1.25	1.1	1.02	0.99	0.94	0.9	0.85	0.76	0.66	2.97
Brazil	1970	2919.64	2963.56	2983.61	2982.18	2961.64	2924.36	2872.72	2809.09	2735.84	2655.36	2566.87	2469.58	2381.63	2311.7	2252.7	2189.73	2126.77	2058.12	1979.8	1895.86	1815.42	1737.93	1661.53	1586.6	1514.66	1444.51	1373.67	1319.59	1290	1275.96	1262.53	1254.7	1233.82	1189.73	1131.98	1078.63	1024.05	982.7	962.95	956.43	947.42	940.25	923.26	889.43	845.09	803.71	762.72	724.9	693.03	665.43	637.1	608.36	583.55	564.1	548.13	532.43	517.81	500.9	479.78	455.95	433.17	411.07	388.23	364.45	340.36	316.44	292.17	271.04	254.7	241.45	228.21	215.98	201.62	183.39	162.97	143.78	125.09	108.25	94.29	82.47	361.83
Brunei	1970	4.3	4.25	4.19	4.12	4.04	3.96	3.87	3.77	3.67	3.56	3.44	3.32	3.21	3.11	3.02	2.94	2.86	2.73	2.52	2.26	2.01	1.76	1.59	1.55	1.6	1.64	1.69	1.73	1.73	1.71	1.7	1.69	1.69	1.67	1.66	1.64	1.62	1.59	1.55	1.51	1.46	1.41	1.36	1.31	1.26	1.2	1.15	1.1	1.05	1.01	0.96	0.92	0.88	0.84	0.8	0.76	0.71	0.68	0.64	0.61	0.58	0.55	0.52	0.49	0.47	0.45	0.43	0.41	0.38	0.34	0.31	0.28	0.26	0.23	0.21	0.2	0.18	0.16	0.14	0.12	0.52
Bulgaria	1970	133.83	130.79	128.52	126.95	126.01	125.62	125.7	126.18	127	128.06	129.36	130.88	132.24	133.23	133.96	134.59	134.88	135.55	136.91	138.48	139.82	141.47	140.7	136.26	129.59	123.37	116.98	112.4	110.86	111.44	111.76	112.01	113.46	116.43	120.3	124.27	128.6	131.6	132.4	131.73	130.85	129.1	128.44	129.84	132.07	133.87	136.62	133.89	122.72	106.66	91.46	75.03	65.68	67.83	77.23	85.33	93.99	99.62	99.63	95.95	93.2	90.55	87.43	84.04	80.38	76.27	71.77	67.28	62.97	58.77	54.47	50.21	45.88	41.44	37.02	32.74	28.5	24.96	22.43	20.6	123.91
Burkina_Faso	1970	223.09	208.45	195.69	184.64	175.12	166.99	160.06	154.17	149.16	144.87	141.28	138.41	135.25	131.29	126.87	122.85	119.06	115.31	111.59	107.91	104.3	100.73	97.31	94.08	91	87.98	85.07	82.07	78.9	75.66	72.55	69.55	66.73	64.17	61.82	59.58	57.42	55.53	53.98	52.68	51.47	50.34	49.29	48.27	47.28	46.34	45.45	44.51	43.46	42.34	41.21	40.07	38.88	37.65	36.37	35.06	33.73	32.31	30.78	29.18	27.57	25.94	24.32	22.74	21.18	19.63	18.11	16.57	15.01	13.47	11.97	10.52	9.16	7.93	6.81	5.75	4.76	3.88	3.13	2.48	6.5
Burundi	1970	141.18	133	125.71	119.25	113.55	108.52	104.1	100.21	96.78	93.72	90.97	88.45	86.1	83.84	81.6	79.53	77.78	75.09	70.89	65.84	61.03	56.13	52.35	50.37	49.58	48.69	47.96	47.07	45.73	44.13	42.76	41.5	40.31	39.2	38.15	37.12	36.12	35.11	34.06	32.99	31.96	30.94	29.96	29.03	28.13	27.25	26.38	25.51	24.65	23.78	22.92	22.07	21.24	20.43	19.63	18.84	18.06	17.27	16.48	15.68	14.89	14.11	13.33	12.57	11.81	11.06	10.32	9.6	8.88	8.19	7.51	6.86	6.19	5.51	4.83	4.18	3.55	2.99	2.56	2.21	9.29
Cabo_Verde	1970	9.59	9.84	9.96	9.97	9.88	9.7	9.46	9.15	8.8	8.42	7.99	7.49	7.11	6.91	6.82	6.7	6.63	6.34	5.7	4.85	4.06	3.27	2.69	2.44	2.44	2.41	2.4	2.44	2.53	2.65	2.8	2.98	3.09	3.08	2.99	2.91	2.82	2.74	2.7	2.67	2.63	2.6	2.5	2.28	1.99	1.72	1.44	1.26	1.22	1.29	1.34	1.41	1.46	1.48	1.48	1.49	1.49	1.51	1.57	1.63	1.68	1.74	1.73	1.6	1.41	1.21	1.01	0.85	0.78	0.77	0.74	0.71	0.67	0.59	0.5	0.41	0.32	0.26	0.23	0.23	1.53
Cambodia	1970	255.26	249.01	242.79	236.63	230.53	224.48	218.5	212.58	206.75	200.99	195.15	189.05	183.57	179.06	175.01	170.89	167.23	161.45	152.36	141.33	130.78	120.06	111.48	106.39	103.65	100.71	98.05	95.43	92.45	89.31	86.61	84.23	81.85	79.37	76.86	74.48	72.18	69.95	67.77	65.65	63.58	61.54	59.57	57.65	55.77	53.93	52.12	50.32	48.51	46.7	44.91	43.15	41.39	39.64	37.9	36.17	34.47	32.76	31.05	29.34	27.66	26	24.37	22.78	21.22	19.7	18.21	16.77	15.37	14.02	12.73	11.49	10.3	9.18	8.11	7.1	6.14	5.29	4.57	3.95	16.9
Cameroon	1970	264.96	250.05	236.3	223.65	212.04	201.42	191.72	182.88	174.85	167.56	160.95	154.95	149.54	144.66	140.23	136.21	132.59	129.09	125.56	122.06	118.81	115.77	112.76	109.7	106.66	103.73	100.89	98.13	95.45	92.85	90.31	87.83	85.42	83.09	80.84	78.63	76.48	74.36	72.25	70.16	68.11	66.11	64.14	62.22	60.33	58.47	56.64	54.84	53.07	51.33	49.62	47.92	46.24	44.57	42.91	41.26	39.63	38.01	36.4	34.79	33.2	31.62	30.04	28.46	26.88	25.31	23.77	22.22	20.66	19.1	17.58	16.1	14.64	13.22	11.84	10.52	9.25	8.06	6.96	5.96	23.58
Canada	1970	318.14	352.13	381.08	405.28	425.04	440.67	452.46	460.73	465.78	467.9	467.43	464.68	459.87	453.26	445.22	435.68	424.47	414.27	406.34	399.59	391.96	384.26	374.41	361.31	346.23	331.77	317.63	304.31	292.4	281.84	271.65	261.67	254.73	252.01	252.22	252.71	253.86	254.98	255.42	255.39	255.67	255.98	255.86	255.14	253.75	252.17	250.66	247.02	240.31	231.68	222.97	213.53	205.99	201.76	199.51	196.66	193.92	189.66	182.85	174.43	166.33	158.13	150.53	144.08	138.36	132.46	126.6	120.61	114.31	107.89	101.64	95.47	89.64	84.31	79.33	74.4	69.57	64.79	59.99	55.2	335.31
Central_African_Republic	1970	67.34	63.51	60.06	56.97	54.21	51.75	49.55	47.6	45.84	44.27	42.86	41.63	40.39	39.04	37.64	36.37	35.19	34.05	32.92	31.84	30.81	29.81	28.98	28.38	27.95	27.54	27.18	26.75	26.18	25.53	24.92	24.33	23.75	23.2	22.66	22.12	21.57	21.04	20.52	20.02	19.52	19.02	18.51	17.96	17.4	16.86	16.31	15.77	15.21	14.65	14.09	13.54	13.04	12.62	12.27	11.91	11.55	11.18	10.77	10.32	9.89	9.46	9.02	8.56	8.09	7.63	7.15	6.69	6.26	5.83	5.41	5.01	4.58	4.11	3.61	3.14	2.68	2.28	1.95	1.69	6.94
